RESTID;CUISINE;ITEMNAME;ITEMID;CATEGORY;PRICE
RE10106;Burgers;Soda;IT1010605;Drink;9
RE10107;Dessert-Ice_Cream;Strawberry;IT1010701;Main Course;10
RE10107;Dessert-Ice_Cream;Chocolate;IT1010702;Main Course;20
RE10107;Dessert-Ice_Cream;Mint;IT1010703;Main Course;25
RE10107;Dessert-Ice_Cream;Vanilla;IT1010704;Main Course;20
RE10107;Dessert-Ice_Cream;Lemon;IT1010705;Main Course;15
RE10108;Fast_Food;Hot Dog with Fries;IT1010801;Main Course;11
RE10108;Fast_Food;Chicken Burger;IT1010802;Main Course;11
RE10108;Fast_Food;Hamburger;IT1010803;Main Course;12
RE10108;Fast_Food;Beef Burger;IT1010804;Main Course;19
RE10108;Fast_Food;Soda;IT1010805;Drink;7
RE10109;Hot_Dogs;Chicago Genuine;IT1010901;Main Course;25
RE10109;Hot_Dogs;Polish Hot Dog;IT1010902;Main Course;17
RE10109;Hot_Dogs;Chili Dog;IT1010903;Main Course;19
RE10109;Hot_Dogs;Hawaiian ;IT1010904;Main Course;26
RE10109;Hot_Dogs;Bratwurst;IT1010905;Main Course;24
RE10110;Latin_American;Chicken with Chilli Flakes;IT1011001;Main Course;24
RE10110;Latin_American;Parillia Steak;IT1011002;Main Course;12
RE10110;Latin_American;Tostades;IT1011003;Main Course;28
RE10110;Latin_American;Soft Shell Tacos;IT1011004;Main Course;10
RE10110;Latin_American;Chimichangas;IT1011005;Main Course;16
RE10111;Mexican;Fire Burrito;IT1011101;Main Course;12
RE10111;Mexican;Chilli Tacos;IT1011102;Main Course;12
RE10111;Mexican;Chicken Quasedillas;IT1011103;Main Course;27
RE10111;Mexican;Grilled Pork;IT1011104;Main Course;18
RE10111;Mexican;Pork Burritos;IT1011105;Main Course;14
RE10112;Steaks;Cheese Steak;IT1011201;Main Course;20
RE10112;Steaks;Turkey Steak;IT1011202;Main Course;27
RE10112;Steaks;Center Cut Sirloin;IT1011203;Main Course;29
RE10112;Steaks;T Bone Steak;IT1011204;Main Course;12
RE10112;Steaks;Soda;IT1011205;Drink;6
RE10113;Mexican;Fire Burrito;IT1011301;Main Course;17
RE10113;Mexican;Chilli Tacos;IT1011302;Main Course;27
RE10113;Mexican;Chicken Quasedillas;IT1011303;Main Course;24
RE10113;Mexican;Grilled Pork;IT1011304;Main Course;13
RE10113;Mexican;Pork Burritos;IT1011305;Main Course;19
RE10114;Steaks;Cheese Steak;IT1011401;Main Course;15
RE10114;Steaks;Turkey Steak;IT1011402;Main Course;21
RE10114;Steaks;Center Cut Sirloin;IT1011403;Main Course;24
RE10114;Steaks;T Bone Steak;IT1011404;Main Course;14
RE10114;Steaks;Soda;IT1011405;Drink;5
RE10115;Mexican;Fire Burrito;IT1011501;Main Course;11
RE10115;Mexican;Chilli Tacos;IT1011502;Main Course;18
RE10115;Mexican;Chicken Quasedillas;IT1011503;Main Course;11
RE10115;Mexican;Grilled Pork;IT1011504;Main Course;24
RE10115;Mexican;Pork Burritos;IT1011505;Main Course;23
RE10116;Steaks;Cheese Steak;IT1011601;Main Course;14
RE10116;Steaks;Turkey Steak;IT1011602;Main Course;17
RE10116;Steaks;Center Cut Sirloin;IT1011603;Main Course;15
RE10116;Steaks;T Bone Steak;IT1011604;Main Course;14
RE10116;Steaks;Soda;IT1011605;Drink;9
RE10117;Asian;Udon Vegan;IT1011701;Main Course;26
RE10117;Asian;Dim Sum Dumpings;IT1011702;Starter;11
RE10117;Asian;Maki Ramen;IT1011703;Main Course;26
RE10117;Asian;Shrimp Platter;IT1011704;Main Course;21
RE10117;Asian;Special Drink;IT1011705;Drink;5
RE10118;Dessert-Ice_Cream;Strawberry;IT1011801;Main Course;19
RE10118;Dessert-Ice_Cream;Chocolate;IT1011802;Main Course;11
RE10118;Dessert-Ice_Cream;Mint;IT1011803;Main Course;27
RE10118;Dessert-Ice_Cream;Vanilla;IT1011804;Main Course;14
RE10118;Dessert-Ice_Cream;Lemon;IT1011805;Main Course;28
RE10119;International;Cheese Bread Sticks;IT1011901;Starter;11
RE10119;International;Honey Glazed Chicken;IT1011902;Starter;14
RE10119;International;Grande Salad;IT1011903;Main Course;13
RE10119;International;Beef Steak;IT1011904;Main Course;26
RE10119;International;Apple Drink;IT1011905;Drink;8
RE10120;Mongolian;Szechuan Chicken;IT1012001;Main Course;12
RE10120;Mongolian;Stir Fried Noodles;IT1012002;Main Course;25
RE10120;Mongolian;Beef Teriyaki;IT1012003;Main Course;16
RE10120;Mongolian;Fried Rice;IT1012004;Main Course;26
RE10120;Mongolian;Veggie Roll;IT1012005;Starter;6
RE10121;Steaks;Cheese Steak;IT1012101;Main Course;27
RE10121;Steaks;Turkey Steak;IT1012102;Main Course;24
RE10121;Steaks;Center Cut Sirloin;IT1012103;Main Course;25
RE10121;Steaks;T Bone Steak;IT1012104;Main Course;13
RE10121;Steaks;Soda;IT1012105;Drink;8
RE10122;Vegetarian;Chickpea Salad;IT1012201;Starter;6
RE10122;Vegetarian;Tortilla Espanola;IT1012202;Main Course;27
RE10122;Vegetarian;Mashed Potatoes with Veggies;IT1012203;Main Course;11
RE10122;Vegetarian;Strawberry Gelato;IT1012204;Dessert;11
RE10122;Vegetarian;Virgin Mojito;IT1012205;Drink;5
RE10123;Brazilian;Mesquita;IT1012301;Starter;7
RE10123;Brazilian;Rio Steak;IT1012302;Main Course;29
RE10123;Brazilian;Plain Cheesecake;IT1012303;Dessert;5
RE10123;Brazilian;Tiramisu;IT1012304;Dessert;11
RE10123;Brazilian;Pudim;IT1012305;Dessert;13
RE10124;International;Cheese Bread Sticks;IT1012401;Starter;5
RE10124;International;Honey Glazed Chicken;IT1012402;Starter;5
RE10124;International;Grande Salad;IT1012403;Main Course;13
RE10124;International;Beef Steak;IT1012404;Main Course;28
RE10124;International;Apple Drink;IT1012405;Drink;8
RE10125;Latin_American;Chicken with Chilli Flakes;IT1012501;Main Course;18
RE10125;Latin_American;Parillia Steak;IT1012502;Main Course;27
RE10125;Latin_American;Tostades;IT1012503;Main Course;22
RE10125;Latin_American;Soft Shell Tacos;IT1012504;Main Course;26
RE10125;Latin_American;Chimichangas;IT1012505;Main Course;25
RE10126;Steaks;Cheese Steak;IT1012601;Main Course;29
RE10126;Steaks;Turkey Steak;IT1012602;Main Course;10
RE10126;Steaks;Center Cut Sirloin;IT1012603;Main Course;27
RE10126;Steaks;T Bone Steak;IT1012604;Main Course;25
RE10126;Steaks;Soda;IT1012605;Drink;5
RE10127;Cafe-Coffee_Shop;Cappuccino;IT1012701;Drink;9
RE10127;Cafe-Coffee_Shop;Glace;IT1012702;Drink;9
RE10127;Cafe-Coffee_Shop;Latte;IT1012703;Drink;7
RE10127;Cafe-Coffee_Shop;Cocoa;IT1012704;Drink;8
RE10127;Cafe-Coffee_Shop;Mocha;IT1012705;Drink;8
RE10128;Cafeteria;Popcorn Chicken;IT1012801;Starter;8
RE10128;Cafeteria;Club Mix;IT1012802;Main Course;17
RE10128;Cafeteria;Classic Cheese Pizza;IT1012803;Main Course;27
RE10128;Cafeteria;Frozen Fruit Cup;IT1012804;Dessert;8
RE10128;Cafeteria;Milkshake;IT1012805;Drink;5
RE10129;Contemporary;Supreme Nachos;IT1012901;Starter;13
RE10129;Contemporary;Boneless Wings;IT1012902;Starter;10
RE10129;Contemporary;Fajita Wrao;IT1012903;Main Course;27
RE10129;Contemporary;Veggie Delight;IT1012904;Main Course;21
RE10129;Contemporary;Soda;IT1012905;Drink;8
RE10130;Deli-Sandwiches;Chicken;IT1013001;Main Course;26
RE10130;Deli-Sandwiches;Mutton;IT1013002;Main Course;23
RE10130;Deli-Sandwiches;Beef;IT1013003;Main Course;25
RE10130;Deli-Sandwiches;Turkey  ;IT1013004;Main Course;19
RE10130;Deli-Sandwiches;Vegan;IT1013005;Main Course;28
RE10131;Diner;Fried Eggs;IT1013101;Main Course;17
RE10131;Diner;Milkshake;IT1013102;Drink;8
RE10131;Diner;Chicken Pasta;IT1013103;Main Course;25
RE10131;Diner;Pizza Rolls;IT1013104;Starter;5
RE10131;Diner;Soda;IT1013105;Drink;5
RE10132;Mexican;Fire Burrito;IT1013201;Main Course;22
RE10132;Mexican;Chilli Tacos;IT1013202;Main Course;17
RE10132;Mexican;Chicken Quasedillas;IT1013203;Main Course;10
RE10132;Mexican;Grilled Pork;IT1013204;Main Course;29
RE10132;Mexican;Pork Burritos;IT1013205;Main Course;28
RE10133;Mexican;Fire Burrito;IT1013301;Main Course;19
RE10133;Mexican;Chilli Tacos;IT1013302;Main Course;21
RE10133;Mexican;Chicken Quasedillas;IT1013303;Main Course;28
RE10133;Mexican;Grilled Pork;IT1013304;Main Course;25
RE10133;Mexican;Pork Burritos;IT1013305;Main Course;19
RE10134;Mexican;Fire Burrito;IT1013401;Main Course;20
RE10134;Mexican;Chilli Tacos;IT1013402;Main Course;23
RE10134;Mexican;Chicken Quasedillas;IT1013403;Main Course;19
RE10134;Mexican;Grilled Pork;IT1013404;Main Course;13
RE10134;Mexican;Pork Burritos;IT1013405;Main Course;28
RE10135;Cafeteria;Popcorn Chicken;IT1013501;Starter;12
RE10135;Cafeteria;Club Mix;IT1013502;Main Course;29
RE10135;Cafeteria;Classic Cheese Pizza;IT1013503;Main Course;14
RE10135;Cafeteria;Frozen Fruit Cup;IT1013504;Dessert;11
RE10135;Cafeteria;Milkshake;IT1013505;Drink;6
RE10136;Mexican;Fire Burrito;IT1013601;Main Course;19
RE10136;Mexican;Chilli Tacos;IT1013602;Main Course;15
RE10136;Mexican;Chicken Quasedillas;IT1013603;Main Course;18
RE10136;Mexican;Grilled Pork;IT1013604;Main Course;20
RE10136;Mexican;Pork Burritos;IT1013605;Main Course;11
RE10137;Japanese;Chukka Salad;IT1013701;Starter;9
RE10137;Japanese;Takitori;IT1013702;Starter;14
RE10137;Japanese;Pork Teriyaki;IT1013703;Main Course;22
RE10137;Japanese;Gunkan With Cucumber;IT1013704;Main Course;17
RE10137;Japanese;Roll with Walnuts;IT1013705;Starter;12
RE10138;Sushi;Salmon Futomaki;IT1013801;Main Course;19
RE10138;Sushi;Tuna Futomaki;IT1013802;Main Course;16
RE10138;Sushi;Ikura Futomaki;IT1013803;Main Course;27
RE10138;Sushi;Maki Roll Set;IT1013804;Main Course;29
RE10138;Sushi;Nigiri Set;IT1013805;Main Course;10
RE10139;Mexican;Fire Burrito;IT1013901;Main Course;13
RE10139;Mexican;Chilli Tacos;IT1013902;Main Course;28
RE10139;Mexican;Chicken Quasedillas;IT1013903;Main Course;11
RE10139;Mexican;Grilled Pork;IT1013904;Main Course;10
RE10139;Mexican;Pork Burritos;IT1013905;Main Course;27
RE10140;Seafood;Crab Masala;IT1014001;Main Course;16
RE10140;Seafood;Tandoori Fish;IT1014002;Main Course;22
RE10140;Seafood;Salmon Sikandari;IT1014003;Main Course;11
RE10140;Seafood;Chilli Prawn Brochettes;IT1014004;Main Course;25
RE10140;Seafood;Lobster Salad;IT1014005;Starter;10
RE10141;Cafeteria;Popcorn Chicken;IT1014101;Starter;13
RE10141;Cafeteria;Club Mix;IT1014102;Main Course;14
RE10141;Cafeteria;Classic Cheese Pizza;IT1014103;Main Course;22
RE10141;Cafeteria;Frozen Fruit Cup;IT1014104;Dessert;6
RE10141;Cafeteria;Milkshake;IT1014105;Drink;6
RE10142;Burgers;Chicken Burger;IT1014201;Main Course;11
RE10142;Burgers;Hamburger;IT1014202;Main Course;12
RE10142;Burgers;Beef Burger;IT1014203;Main Course;24
RE10142;Burgers;Mixed Burger;IT1014204;Main Course;24
RE10142;Burgers;Soda;IT1014205;Drink;7
RE10143;Fast_Food;Hot Dog with Fries;IT1014301;Main Course;24
RE10143;Fast_Food;Chicken Burger;IT1014302;Main Course;26
RE10143;Fast_Food;Hamburger;IT1014303;Main Course;26
RE10143;Fast_Food;Beef Burger;IT1014304;Main Course;14
RE10143;Fast_Food;Soda;IT1014305;Drink;5
RE10144;Fast_Food;Hot Dog with Fries;IT1014401;Main Course;13
RE10144;Fast_Food;Chicken Burger;IT1014402;Main Course;19
RE10144;Fast_Food;Hamburger;IT1014403;Main Course;20
RE10144;Fast_Food;Beef Burger;IT1014404;Main Course;10
RE10144;Fast_Food;Soda;IT1014405;Drink;6
RE10145;Chinese;Lobster Cantonese;IT1014501;Main Course;15
RE10145;Chinese;Pork Chow Mein;IT1014502;Main Course;24
RE10145;Chinese;Chicken Chop Suey;IT1014503;Starter;8
RE10145;Chinese;Egg Flower Soup;IT1014504;Starter;10
RE10145;Chinese;Fried Shrimp;IT1014505;Starter;7
RE10146;Seafood;Crab Masala;IT1014601;Main Course;22
RE10146;Seafood;Tandoori Fish;IT1014602;Main Course;13
RE10146;Seafood;Salmon Sikandari;IT1014603;Main Course;29
RE10146;Seafood;Chilli Prawn Brochettes;IT1014604;Main Course;26
RE10146;Seafood;Lobster Salad;IT1014605;Starter;10
RE10147;Contemporary;Supreme Nachos;IT1014701;Starter;12
RE10147;Contemporary;Boneless Wings;IT1014702;Starter;7
RE10147;Contemporary;Fajita Wrao;IT1014703;Main Course;25
RE10147;Contemporary;Veggie Delight;IT1014704;Main Course;10
RE10147;Contemporary;Soda;IT1014705;Drink;5
RE10148;Bar;Strawberry Daiquiri;IT1014801;Drink;6
RE10148;Bar;Tequila Sunrise;IT1014802;Drink;5
RE10148;Bar;Beer;IT1014803;Drink;5
RE10148;Bar;Red Wine;IT1014804;Drink;6
RE10148;Bar;White Wine;IT1014805;Drink;6
RE10149;Bar_Pub_Brewery;Draft beer;IT1014901;Drink;9
RE10149;Bar_Pub_Brewery;Special Beer;IT1014902;Drink;6
RE10149;Bar_Pub_Brewery;Bottled Beer;IT1014903;Drink;5
RE10149;Bar_Pub_Brewery;Imported Beer;IT1014904;Drink;5
RE10149;Bar_Pub_Brewery;Family Pack;IT1014905;Drink;9
RE10150;Japanese;Chukka Salad;IT1015001;Starter;11
RE10150;Japanese;Takitori;IT1015002;Starter;10
RE10150;Japanese;Pork Teriyaki;IT1015003;Main Course;22
RE10150;Japanese;Gunkan With Cucumber;IT1015004;Main Course;17
RE10150;Japanese;Roll with Walnuts;IT1015005;Starter;11
RE10151;Bar;Strawberry Daiquiri;IT1015101;Drink;9
RE10151;Bar;Tequila Sunrise;IT1015102;Drink;8
RE10151;Bar;Beer;IT1015103;Drink;9
RE10151;Bar;Red Wine;IT1015104;Drink;9
RE10151;Bar;White Wine;IT1015105;Drink;5
RE10152;Bar_Pub_Brewery;Draft beer;IT1015201;Drink;6
RE10152;Bar_Pub_Brewery;Special Beer;IT1015202;Drink;7
RE10152;Bar_Pub_Brewery;Bottled Beer;IT1015203;Drink;8
RE10152;Bar_Pub_Brewery;Imported Beer;IT1015204;Drink;5
RE10152;Bar_Pub_Brewery;Family Pack;IT1015205;Drink;8
RE10153;Bar;Strawberry Daiquiri;IT1015301;Drink;9
RE10153;Bar;Tequila Sunrise;IT1015302;Drink;8
RE10153;Bar;Beer;IT1015303;Drink;7
RE10153;Bar;Red Wine;IT1015304;Drink;9
RE10153;Bar;White Wine;IT1015305;Drink;9
RE10154;Contemporary;Supreme Nachos;IT1015401;Starter;7
RE10154;Contemporary;Boneless Wings;IT1015402;Starter;13
RE10154;Contemporary;Fajita Wrao;IT1015403;Main Course;14
RE10154;Contemporary;Veggie Delight;IT1015404;Main Course;28
RE10154;Contemporary;Soda;IT1015405;Drink;8
RE10155;Seafood;Crab Masala;IT1015501;Main Course;14
RE10155;Seafood;Tandoori Fish;IT1015502;Main Course;22
RE10155;Seafood;Salmon Sikandari;IT1015503;Main Course;25
RE10155;Seafood;Chilli Prawn Brochettes;IT1015504;Main Course;11
RE10155;Seafood;Lobster Salad;IT1015505;Starter;13
RE10156;Bar;Strawberry Daiquiri;IT1015601;Drink;9
RE10156;Bar;Tequila Sunrise;IT1015602;Drink;9
RE10156;Bar;Beer;IT1015603;Drink;9
RE10156;Bar;Red Wine;IT1015604;Drink;8
RE10156;Bar;White Wine;IT1015605;Drink;6
RE10157;Pizzeria;Margherita;IT1015701;Main Course;24
RE10157;Pizzeria;Fungi;IT1015702;Main Course;12
RE10157;Pizzeria;Salami;IT1015703;Main Course;25
RE10157;Pizzeria;Mexican;IT1015704;Main Course;18
RE10157;Pizzeria;Vegetarian;IT1015705;Main Course;13
RE10158;Bar;Strawberry Daiquiri;IT1015801;Drink;6
RE10158;Bar;Tequila Sunrise;IT1015802;Drink;9
RE10158;Bar;Beer;IT1015803;Drink;8
RE10158;Bar;Red Wine;IT1015804;Drink;9
RE10158;Bar;White Wine;IT1015805;Drink;9
RE10159;Bar;Strawberry Daiquiri;IT1015901;Drink;6
RE10159;Bar;Tequila Sunrise;IT1015902;Drink;6
RE10159;Bar;Beer;IT1015903;Drink;5
RE10159;Bar;Red Wine;IT1015904;Drink;7
RE10159;Bar;White Wine;IT1015905;Drink;7
RE10160;Mexican;Fire Burrito;IT1016001;Main Course;16
RE10160;Mexican;Chilli Tacos;IT1016002;Main Course;12
RE10160;Mexican;Chicken Quasedillas;IT1016003;Main Course;23
RE10160;Mexican;Grilled Pork;IT1016004;Main Course;28
RE10160;Mexican;Pork Burritos;IT1016005;Main Course;26
RE10161;Seafood;Crab Masala;IT1016101;Main Course;12
RE10161;Seafood;Tandoori Fish;IT1016102;Main Course;12
RE10161;Seafood;Salmon Sikandari;IT1016103;Main Course;14
RE10161;Seafood;Chilli Prawn Brochettes;IT1016104;Main Course;14
RE10161;Seafood;Lobster Salad;IT1016105;Starter;9
RE10162;Cafeteria;Popcorn Chicken;IT1016201;Starter;6
RE10162;Cafeteria;Club Mix;IT1016202;Main Course;16
RE10162;Cafeteria;Classic Cheese Pizza;IT1016203;Main Course;25
RE10162;Cafeteria;Frozen Fruit Cup;IT1016204;Dessert;8
RE10162;Cafeteria;Milkshake;IT1016205;Drink;5
RE10163;Fast_Food;Hot Dog with Fries;IT1016301;Main Course;18
RE10163;Fast_Food;Chicken Burger;IT1016302;Main Course;11
RE10163;Fast_Food;Hamburger;IT1016303;Main Course;16
RE10163;Fast_Food;Beef Burger;IT1016304;Main Course;21
RE10163;Fast_Food;Soda;IT1016305;Drink;6
RE10164;Pizzeria;Margherita;IT1016401;Main Course;19
RE10164;Pizzeria;Fungi;IT1016402;Main Course;28
RE10164;Pizzeria;Salami;IT1016403;Main Course;14
RE10164;Pizzeria;Mexican;IT1016404;Main Course;20
RE10164;Pizzeria;Vegetarian;IT1016405;Main Course;11
RE10165;Bar;Strawberry Daiquiri;IT1016501;Drink;5
RE10165;Bar;Tequila Sunrise;IT1016502;Drink;5
RE10165;Bar;Beer;IT1016503;Drink;9
RE10165;Bar;Red Wine;IT1016504;Drink;9
RE10165;Bar;White Wine;IT1016505;Drink;8
RE10166;Bar_Pub_Brewery;Draft beer;IT1016601;Drink;8
RE10166;Bar_Pub_Brewery;Special Beer;IT1016602;Drink;8
RE10166;Bar_Pub_Brewery;Bottled Beer;IT1016603;Drink;9
RE10166;Bar_Pub_Brewery;Imported Beer;IT1016604;Drink;5
RE10166;Bar_Pub_Brewery;Family Pack;IT1016605;Drink;7
RE10167;Seafood;Crab Masala;IT1016701;Main Course;25
RE10167;Seafood;Tandoori Fish;IT1016702;Main Course;27
RE10167;Seafood;Salmon Sikandari;IT1016703;Main Course;17
RE10167;Seafood;Chilli Prawn Brochettes;IT1016704;Main Course;14
RE10167;Seafood;Lobster Salad;IT1016705;Starter;13
RE10168;Bar;Strawberry Daiquiri;IT1016801;Drink;7
RE10168;Bar;Tequila Sunrise;IT1016802;Drink;7
RE10168;Bar;Beer;IT1016803;Drink;8
RE10168;Bar;Red Wine;IT1016804;Drink;7
RE10168;Bar;White Wine;IT1016805;Drink;9
RE10169;Fast_Food;Hot Dog with Fries;IT1016901;Main Course;25
RE10169;Fast_Food;Chicken Burger;IT1016902;Main Course;13
RE10169;Fast_Food;Hamburger;IT1016903;Main Course;14
RE10169;Fast_Food;Beef Burger;IT1016904;Main Course;16
RE10169;Fast_Food;Soda;IT1016905;Drink;7
RE10170;Chinese;Lobster Cantonese;IT1017001;Main Course;27
RE10170;Chinese;Pork Chow Mein;IT1017002;Main Course;19
RE10170;Chinese;Chicken Chop Suey;IT1017003;Starter;8
RE10170;Chinese;Egg Flower Soup;IT1017004;Starter;12
RE10170;Chinese;Fried Shrimp;IT1017005;Starter;14
RE10171;Fast_Food;Hot Dog with Fries;IT1017101;Main Course;24
RE10171;Fast_Food;Chicken Burger;IT1017102;Main Course;19
RE10171;Fast_Food;Hamburger;IT1017103;Main Course;18
RE10171;Fast_Food;Beef Burger;IT1017104;Main Course;17
RE10171;Fast_Food;Soda;IT1017105;Drink;6
RE10172;Pizzeria;Margherita;IT1017201;Main Course;23
RE10172;Pizzeria;Fungi;IT1017202;Main Course;11
RE10172;Pizzeria;Salami;IT1017203;Main Course;28
RE10172;Pizzeria;Mexican;IT1017204;Main Course;22
RE10172;Pizzeria;Vegetarian;IT1017205;Main Course;23
RE10173;Chinese;Lobster Cantonese;IT1017301;Main Course;20
RE10173;Chinese;Pork Chow Mein;IT1017302;Main Course;17
RE10173;Chinese;Chicken Chop Suey;IT1017303;Starter;6
RE10173;Chinese;Egg Flower Soup;IT1017304;Starter;9
RE10173;Chinese;Fried Shrimp;IT1017305;Starter;12
RE10174;Bar;Strawberry Daiquiri;IT1017401;Drink;8
RE10174;Bar;Tequila Sunrise;IT1017402;Drink;9
RE10174;Bar;Beer;IT1017403;Drink;7
RE10174;Bar;Red Wine;IT1017404;Drink;9
RE10174;Bar;White Wine;IT1017405;Drink;5
RE10175;Cafeteria;Popcorn Chicken;IT1017501;Starter;10
RE10175;Cafeteria;Club Mix;IT1017502;Main Course;19
RE10175;Cafeteria;Classic Cheese Pizza;IT1017503;Main Course;23
RE10175;Cafeteria;Frozen Fruit Cup;IT1017504;Dessert;6
RE10175;Cafeteria;Milkshake;IT1017505;Drink;6
RE10176;Seafood;Crab Masala;IT1017601;Main Course;25
RE10176;Seafood;Tandoori Fish;IT1017602;Main Course;26
RE10176;Seafood;Salmon Sikandari;IT1017603;Main Course;28
RE10176;Seafood;Chilli Prawn Brochettes;IT1017604;Main Course;20
RE10176;Seafood;Lobster Salad;IT1017605;Starter;9
RE10177;Mexican;Fire Burrito;IT1017701;Main Course;29
RE10177;Mexican;Chilli Tacos;IT1017702;Main Course;17
RE10177;Mexican;Chicken Quasedillas;IT1017703;Main Course;17
RE10177;Mexican;Grilled Pork;IT1017704;Main Course;23
RE10177;Mexican;Pork Burritos;IT1017705;Main Course;22
RE10178;Bar;Strawberry Daiquiri;IT1017801;Drink;8
RE10178;Bar;Tequila Sunrise;IT1017802;Drink;7
RE10178;Bar;Beer;IT1017803;Drink;6
RE10178;Bar;Red Wine;IT1017804;Drink;7
RE10178;Bar;White Wine;IT1017805;Drink;7
RE10179;Italian;Bruschetta;IT1017901;Starter;5
RE10179;Italian;Pepperoni Pizza;IT1017902;Main Course;21
RE10179;Italian;Bolognese Pasta;IT1017903;Main Course;16
RE10179;Italian;Smoked Mushroom Soup;IT1017904;Starter;13
RE10179;Italian;Tiramisu;IT1017905;Dessert;10
RE10180;Japanese;Chukka Salad;IT1018001;Starter;8
RE10180;Japanese;Takitori;IT1018002;Starter;10
RE10180;Japanese;Pork Teriyaki;IT1018003;Main Course;24
RE10180;Japanese;Gunkan With Cucumber;IT1018004;Main Course;25
RE10180;Japanese;Roll with Walnuts;IT1018005;Starter;13
RE10181;Cafeteria;Popcorn Chicken;IT1018101;Starter;13
RE10181;Cafeteria;Club Mix;IT1018102;Main Course;23
RE10181;Cafeteria;Classic Cheese Pizza;IT1018103;Main Course;20
RE10181;Cafeteria;Frozen Fruit Cup;IT1018104;Dessert;9
RE10181;Cafeteria;Milkshake;IT1018105;Drink;8
RE10182;Contemporary;Supreme Nachos;IT1018201;Starter;7
RE10182;Contemporary;Boneless Wings;IT1018202;Starter;5
RE10182;Contemporary;Fajita Wrao;IT1018203;Main Course;20
RE10182;Contemporary;Veggie Delight;IT1018204;Main Course;18
RE10182;Contemporary;Soda;IT1018205;Drink;6
RE10183;Seafood;Crab Masala;IT1018301;Main Course;29
RE10183;Seafood;Tandoori Fish;IT1018302;Main Course;21
RE10183;Seafood;Salmon Sikandari;IT1018303;Main Course;11
RE10183;Seafood;Chilli Prawn Brochettes;IT1018304;Main Course;19
RE10183;Seafood;Lobster Salad;IT1018305;Starter;10
RE10184;Cafe-Coffee_Shop;Cappuccino;IT1018401;Drink;9
RE10184;Cafe-Coffee_Shop;Glace;IT1018402;Drink;5
RE10184;Cafe-Coffee_Shop;Latte;IT1018403;Drink;9
RE10184;Cafe-Coffee_Shop;Cocoa;IT1018404;Drink;8
RE10184;Cafe-Coffee_Shop;Mocha;IT1018405;Drink;9
RE10185;Cafeteria;Popcorn Chicken;IT1018501;Starter;8
RE10185;Cafeteria;Club Mix;IT1018502;Main Course;18
RE10185;Cafeteria;Classic Cheese Pizza;IT1018503;Main Course;21
RE10185;Cafeteria;Frozen Fruit Cup;IT1018504;Dessert;11
RE10185;Cafeteria;Milkshake;IT1018505;Drink;6
RE10186;Bar;Strawberry Daiquiri;IT1018601;Drink;7
RE10186;Bar;Tequila Sunrise;IT1018602;Drink;8
RE10186;Bar;Beer;IT1018603;Drink;5
RE10186;Bar;Red Wine;IT1018604;Drink;9
RE10186;Bar;White Wine;IT1018605;Drink;9
RE10187;Bar_Pub_Brewery;Draft beer;IT1018701;Drink;5
RE10187;Bar_Pub_Brewery;Special Beer;IT1018702;Drink;8
