ORDERID	ORDERCREATEDBY	ORDERCREATEDON	CUSTOMERID	RESTAURANTID	ADDRESSID	TotalQuantity	TotalGrossAmount	TotalNetAmount	TaxAmount	PAYMENTMETHOD	DeliveryType	DeliveryRate	BillAmount	PAYMENTMETHOD	FOODRATING	SERVICERATING	OVERALLRATING
5000000064	EMP12169	02.01.19	C106943	RE10268	CA107221	4	48	42.000	6.000	Card	FlatRate	5	53	Card	2	1	1,5
5000000065	EMP13193	02.01.19	C193735	RE10292	CA107028	3	78	68.250	9.750	Card	Free	0	78	Card	1	5	3
5000000066	EMP12433	02.01.19	C157357	RE10532	CA101500	6	117	102.375	14.625	Card	Free	0	117	Card	1	5	3
5000000067	EMP13010	02.01.19	C128030	RE10109	CA109367	3	36	31.500	4.500	Card	Free	0	36	Card	1	3	2
5000000068	EMP13418	02.01.19	C103579	RE10517	CA101978	5	109	95.375	13.625	Cash	FlatRate	5	114	Cash	3	4	3,5
5000000069	EMP12223	02.01.19	C114580	RE10322	CA109550	6	129	112.875	16.125	Card	Free	0	129	Card	5	1	3
5000000070	EMP12220	02.01.19	C189169	RE10319	CA109409	6	67	58.625	8.375	Card	Free	0	67	Card	3	1	2
5000000071	EMP14439	02.01.19	C114619	RE10538	CA109124	6	90	78.750	11.250	Cash	FlatRate	07. May	97.5	Cash	2	2	2
5000000072	EMP13331	02.01.19	C120594	RE10430	CA101748	3	18	15.750	2.250	Card	Free	0	18	Card	4	3	3,5
5000000073	EMP14367	02.01.19	C143945	RE10466	CA105165	6	126	110.250	15.750	Cash	FlatRate	5	131	Cash	1	3	2
5000000074	EMP14367	02.01.19	C182561	RE10466	CA105937	4	88	77.000	11.000	Card	FlatRate	5	93	Card	2	5	3,5
5000000075	EMP13439	02.01.19	C146003	RE10538	CA102876	4	88	77.000	11.000	Card	FlatRate	07. May	95.5	Card	4	2	3
5000000076	EMP14376	02.01.19	C154627	RE10475	CA100103	4	97	84.875	12.125	Cash	Free	0	97	Cash	2	5	3,5
5000000077	EMP11094	02.01.19	C192495	RE10193	CA100956	5	88	77.000	11.000	Cash	Free	0	88	Cash	1	3	2
5000000078	EMP13478	02.01.19	C198817	RE10577	CA108743	4	81	70.875	10.125	Card	FlatRate	07. May	88.5	Card	2	1	1,5
5000000079	EMP11073	02.01.19	C101906	RE10172	CA100825	4	52	45.500	6.500	Card	FlatRate	10	62	Card	3	4	3,5
5000000080	EMP11382	02.01.19	C102440	RE10481	CA103116	3	87	76.125	10.875	Card	Free	0	87	Card	2	3	2,5
5000000081	EMP13292	02.01.19	C145467	RE10391	CA106663	4	76	66.500	9.500	Card	Free	0	76	Card	2	3	2,5
5000000082	EMP11118	02.01.19	C132871	RE10217	CA102319	3	72	63.000	9.000	Card	Free	0	72	Card	3	2	2,5
5000000083	EMP11082	02.01.19	C146076	RE10181	CA107387	6	71	62.125	8.875	Cash	Free	0	71	Cash	5	2	3,5
5000000084	EMP12349	02.01.19	C186416	RE10448	CA101372	4	56	49.000	7.000	Card	Free	0	56	Card	3	2	2,5
5000000085	EMP12328	02.01.19	C174114	RE10427	CA104266	3	60	52.500	7.500	Card	Free	0	60	Card	3	1	2
5000000086	EMP12355	03.01.19	C166424	RE10454	CA107364	3	63	55.125	7.875	Cash	FlatRate	07. May	70.5	Cash	2	1	1,5
5000000087	EMP14184	03.01.19	C162299	RE10283	CA105396	2	27	23.625	3.375	Cash	FlatRate	5	32	Cash	2	4	3
5000000088	EMP13376	03.01.19	C142080	RE10475	CA108177	1	28	24.500	3.500	Cash	Free	0	28	Cash	2	2	2
5000000089	EMP14034	03.01.19	C101498	RE10133	CA108184	4	46	40.250	5.750	Cash	Free	0	46	Cash	3	1	2
5000000090	EMP14058	03.01.19	C121003	RE10157	CA101517	1	12	10.500	1.500	Card	Free	0	12	Card	4	2	3
5000000091	EMP13058	03.01.19	C184812	RE10157	CA101260	3	69	60.375	8.625	Card	Free	0	69	Card	5	2	3,5
5000000092	EMP12079	03.01.19	C138608	RE10178	CA109499	2	18	15.750	2.250	Card	Free	0	18	Card	2	3	2,5
5000000093	EMP14391	03.01.19	C153205	RE10490	CA105345	8	151	132.125	18.875	Card	Free	0	151	Card	1	5	3
5000000094	EMP11148	03.01.19	C177077	RE10247	CA106973	4	80	70.000	10.000	Card	FlatRate	07. May	87.5	Card	3	5	4
5000000095	EMP14142	03.01.19	C107882	RE10241	CA106662	6	114	99.750	14.250	Card	Free	0	114	Card	2	2	2
5000000096	EMP13274	03.01.19	C177424	RE10373	CA107751	2	26	22.750	3.250	Card	FlatRate	10	36	Card	3	3	3
5000000097	EMP14496	03.01.19	C182561	RE10595	CA105937	7	113	98.875	14.125	Card	FlatRate	07. May	120.5	Card	4	3	3,5
5000000098	EMP14382	03.01.19	C104837	RE10481	CA109897	1	19	16.625	2.375	Card	Free	0	19	Card	2	4	3
5000000099	EMP13007	03.01.19	C159898	RE10106	CA109364	1	5	4.375	0.625	Card	Free	0	5	Card	1	4	2,5
5000000100	EMP12376	03.01.19	C133236	RE10475	CA107151	5	75	65.625	9.375	Card	Free	0	75	Card	5	4	4,5
5000000101	EMP14280	03.01.19	C158722	RE10379	CA108421	3	46	40.250	5.750	Cash	Free	0	46	Cash	1	4	2,5
5000000102	EMP14445	03.01.19	C156108	RE10544	CA109470	8	155	135.625	19.375	Card	FlatRate	10	165	Card	1	2	1,5
5000000103	EMP13313	03.01.19	C128064	RE10412	CA105920	1	13	11.375	1.625	Cash	Free	0	13	Cash	4	4	4
5000000104	EMP13082	03.01.19	C108064	RE10181	CA109145	4	44	38.500	5.500	Card	Free	0	44	Card	4	4	4
5000000105	EMP13037	03.01.19	C155613	RE10136	CA104974	1	18	15.750	2.250	Card	FlatRate	07. May	25. May	Card	2	3	2,5
5000000106	EMP14466	03.01.19	C164764	RE10565	CA107504	8	113	98.875	14.125	Card	FlatRate	07. May	120.5	Card	1	4	2,5
5000000107	EMP12097	03.01.19	C143749	RE10196	CA101211	2	58	50.750	7.250	Card	FlatRate	10	68	Card	1	5	3
5000000108	EMP12016	03.01.19	C140715	RE10115	CA101162	1	10	8.750	1.250	Cash	FlatRate	5	15	Cash	4	2	3
5000000109	EMP11496	03.01.19	C196196	RE10595	CA109699	4	78	68.250	9.750	Card	FlatRate	07. May	85.5	Card	2	2	2
5000000110	EMP13472	03.01.19	C108103	RE10571	CA105808	2	48	42.000	6.000	Card	Free	0	48	Card	2	1	1,5
5000000111	EMP11058	03.01.19	C157156	RE10157	CA106400	6	135	118.125	16.875	Card	Free	0	135	Card	4	4	4
5000000112	EMP14382	03.01.19	C152602	RE10481	CA108717	5	107	93.625	13.375	Cash	Free	0	107	Cash	2	2	2
5000000113	EMP14058	03.01.19	C115677	RE10157	CA105374	1	23	20.125	2.875	Card	Free	0	23	Card	5	5	5
5000000114	EMP13127	03.01.19	C152236	RE10226	CA109459	7	73	63.875	9.125	Cash	Free	0	73	Cash	5	1	3
5000000115	EMP12121	03.01.19	C142255	RE10220	CA102515	2	10	8.750	1.250	Card	FlatRate	10	20	Card	3	1	2
5000000116	EMP11382	03.01.19	C134726	RE10481	CA103936	3	57	49.875	7.125	Card	Free	0	57	Card	3	2	2,5
5000000117	EMP11376	03.01.19	C101972	RE10475	CA103378	4	96	84.000	12.000	Cash	Free	0	96	Cash	2	2	2
5000000118	EMP11058	03.01.19	C123221	RE10157	CA104345	8	154	134.750	19.250	Card	Free	0	154	Card	3	5	4
5000000119	EMP14343	03.01.19	C106465	RE10442	CA100901	4	52	45.500	6.500	Card	FlatRate	5	57	Card	3	4	3,5
5000000120	EMP13088	03.01.19	C160803	RE10187	CA101182	2	10	8.750	1.250	Card	FlatRate	07. May	17. May	Card	1	3	2
5000000121	EMP14070	03.01.19	C128553	RE10169	CA108198	3	15	13.125	1.875	Card	Free	0	15	Card	3	1	2
5000000122	EMP14466	03.01.19	C164633	RE10565	CA100977	3	72	63.000	9.000	Card	FlatRate	07. May	79.5	Card	2	5	3,5
5000000123	EMP12490	03.01.19	C170973	RE10589	CA109817	4	52	45.500	6.500	Cash	Free	0	52	Cash	1	2	1,5
5000000124	EMP13376	03.01.19	C122928	RE10475	CA101493	1	28	24.500	3.500	Card	Free	0	28	Card	1	2	1,5
5000000125	EMP14058	03.01.19	C126300	RE10157	CA109268	2	35	30.625	4.375	Card	Free	0	35	Card	3	5	4
5000000126	EMP12049	03.01.19	C162764	RE10148	CA106691	5	42	36.750	5.250	Cash	Free	0	42	Cash	5	2	3,5
5000000127	EMP11256	03.01.19	C198249	RE10355	CA102574	3	63	55.125	7.875	Card	Free	0	63	Card	3	5	4
5000000128	EMP12313	03.01.19	C143936	RE10412	CA106847	6	100	87.500	12.500	Card	Free	0	100	Card	2	3	2,5
5000000129	EMP12007	03.01.19	C152980	RE10106	CA107928	2	45	39.375	5.625	Cash	Free	0	45	Cash	3	3	3
5000000130	EMP12010	03.01.19	C131266	RE10109	CA103607	2	24	21.000	3.000	Card	Free	0	24	Card	4	3	3,5
5000000131	EMP12355	03.01.19	C140715	RE10454	CA101162	4	62	54.250	7.750	Card	FlatRate	07. May	69.5	Card	3	5	4
5000000132	EMP11382	03.01.19	C112430	RE10481	CA104039	4	107	93.625	13.375	Card	Free	0	107	Card	1	4	2,5
5000000133	EMP11076	03.01.19	C102440	RE10175	CA103116	6	140	122.500	17.500	Card	FlatRate	07. May	147.5	Card	3	4	3,5
5000000134	EMP12082	03.01.19	C111852	RE10181	CA102822	8	102	89.250	12.750	Cash	Free	0	102	Cash	1	3	2
5000000135	EMP11388	04.01.19	C194232	RE10487	CA102438	2	37	32.375	4.625	Card	Free	0	37	Card	4	2	3
5000000136	EMP14466	04.01.19	C185022	RE10565	CA105594	5	41	35.875	5.125	Card	FlatRate	07. May	48.5	Card	5	4	4,5
5000000137	EMP14073	04.01.19	C170545	RE10172	CA102778	2	26	22.750	3.250	Card	FlatRate	10	36	Card	4	5	4,5
5000000138	EMP11382	04.01.19	C186233	RE10481	CA107959	7	161	140.875	20.125	Card	Free	0	161	Card	4	4	4
5000000139	EMP12040	04.01.19	C155316	RE10139	CA106224	7	133	116.375	16.625	Card	Free	0	133	Card	4	5	4,5
5000000140	EMP13466	04.01.19	C156235	RE10565	CA108230	1	13	11.375	1.625	Card	FlatRate	07. May	20. May	Card	1	4	2,5
5000000141	EMP14199	04.01.19	C160528	RE10298	CA101920	1	12	10.500	1.500	Card	Free	0	12	Card	4	1	2,5
5000000142	EMP12301	04.01.19	C104405	RE10400	CA107274	8	67	58.625	8.375	Cash	Free	0	67	Cash	4	5	4,5
5000000143	EMP11475	04.01.19	C115458	RE10574	CA103802	3	66	57.750	8.250	Card	FlatRate	07. May	73.5	Card	5	2	3,5
5000000144	EMP14073	04.01.19	C157156	RE10172	CA106400	1	13	11.375	1.625	Card	FlatRate	10	23	Card	2	1	1,5
5000000145	EMP13046	04.01.19	C179780	RE10145	CA103349	4	48	42.000	6.000	Cash	Free	0	48	Cash	5	5	5
5000000146	EMP13007	04.01.19	C131934	RE10106	CA101602	3	15	13.125	1.875	Card	Free	0	15	Card	2	2	2
5000000147	EMP14256	04.01.19	C102712	RE10355	CA102203	1	28	24.500	3.500	Card	Free	0	28	Card	1	4	2,5
5000000148	EMP14337	04.01.19	C108822	RE10436	CA103945	4	86	75.250	10.750	Card	Free	0	86	Card	2	3	2,5
5000000149	EMP13298	04.01.19	C163479	RE10397	CA103628	4	97	84.875	12.125	Card	FlatRate	10	107	Card	4	1	2,5
5000000150	EMP14376	04.01.19	C183677	RE10475	CA100846	1	28	24.500	3.500	Card	Free	0	28	Card	1	3	2
5000000151	EMP11496	04.01.19	C118544	RE10595	CA100926	6	100	87.500	12.500	Card	FlatRate	07. May	107.5	Card	2	2	2
5000000152	EMP14190	04.01.19	C170230	RE10289	CA104980	3	84	73.500	10.500	Card	Free	0	84	Card	1	4	2,5
5000000153	EMP12142	04.01.19	C196032	RE10241	CA100794	3	33	28.875	4.125	Card	Free	0	33	Card	2	2	2
5000000154	EMP11373	04.01.19	C150759	RE10472	CA107830	4	64	56.000	8.000	Card	Free	0	64	Card	1	1	1
5000000155	EMP12256	04.01.19	C134589	RE10355	CA108051	3	72	63.000	9.000	Card	Free	0	72	Card	2	1	1,5
5000000156	EMP13184	04.01.19	C185280	RE10283	CA101119	2	28	24.500	3.500	Card	FlatRate	5	33	Card	1	1	1
5000000157	EMP12382	04.01.19	C155014	RE10481	CA104893	3	87	76.125	10.875	Cash	Free	0	87	Cash	4	5	4,5
5000000158	EMP12301	04.01.19	C113031	RE10400	CA100992	4	34	29.750	4.250	Card	Free	0	34	Card	3	5	4
5000000159	EMP11046	04.01.19	C137659	RE10145	CA100540	7	82	71.750	10.250	Card	Free	0	82	Card	5	2	3,5
5000000160	EMP12466	04.01.19	C176307	RE10565	CA101880	1	24	21.000	3.000	Card	FlatRate	07. May	31. May	Card	5	3	4
5000000161	EMP13427	04.01.19	C152272	RE10526	CA102860	2	24	21.000	3.000	Cash	FlatRate	07. May	31. May	Cash	2	5	3,5
5000000162	EMP11313	04.01.19	C159898	RE10412	CA109364	2	26	22.750	3.250	Card	Free	0	26	Card	3	1	2
5000000163	EMP12379	04.01.19	C168480	RE10478	CA109349	3	84	73.500	10.500	Card	FlatRate	10	94	Card	1	2	1,5
5000000164	EMP12466	04.01.19	C196032	RE10565	CA100794	5	101	88.375	12.625	Cash	FlatRate	07. May	108.5	Cash	1	4	2,5
5000000165	EMP14013	04.01.19	C126300	RE10112	CA109268	5	84	73.500	10.500	Card	FlatRate	07. May	91.5	Card	1	5	3
5000000166	EMP14259	04.01.19	C108064	RE10358	CA109145	2	48	42.000	6.000	Card	Free	0	48	Card	5	5	5
5000000167	EMP14478	04.01.19	C101402	RE10577	CA101970	5	132	115.500	16.500	Cash	FlatRate	07. May	139.5	Cash	1	1	1
5000000168	EMP11103	04.01.19	C150887	RE10202	CA101251	2	20	17.500	2.500	Card	FlatRate	5	25	Card	4	1	2,5
5000000169	EMP11475	04.01.19	C161833	RE10574	CA104583	5	116	101.500	14.500	Card	FlatRate	07. May	123.5	Card	1	1	1
5000000170	EMP13199	04.01.19	C170973	RE10298	CA109817	3	63	55.125	7.875	Cash	Free	0	63	Cash	4	2	3
5000000171	EMP11376	04.01.19	C155613	RE10475	CA104974	3	84	73.500	10.500	Cash	Free	0	84	Cash	2	5	3,5
5000000172	EMP12070	04.01.19	C170068	RE10169	CA102336	7	70	61.250	8.750	Card	Free	0	70	Card	1	5	3
5000000173	EMP14070	04.01.19	C162725	RE10169	CA104902	5	53	46.375	6.625	Cash	Free	0	53	Cash	4	1	2,5
5000000174	EMP13454	04.01.19	C104400	RE10553	CA108932	5	79	69.125	9.875	Card	Free	0	79	Card	4	3	3,5
5000000175	EMP11217	04.01.19	C116306	RE10316	CA107305	2	52	45.500	6.500	Cash	FlatRate	5	57	Cash	4	2	3
5000000176	EMP13226	04.01.19	C157511	RE10325	CA108932	1	16	14.000	2.000	Card	FlatRate	5	21	Card	1	2	1,5
5000000177	EMP13043	04.01.19	C192759	RE10142	CA104035	6	65	56.875	8.125	Card	FlatRate	07. May	72.5	Card	3	3	3
5000000178	EMP12073	04.01.19	C161833	RE10172	CA104583	6	90	78.750	11.250	Card	FlatRate	10	100	Card	1	1	1
5000000179	EMP14010	04.01.19	C190401	RE10109	CA101615	4	80	70.000	10.000	Cash	Free	0	80	Cash	4	2	3
5000000180	EMP14142	04.01.19	C192338	RE10241	CA108152	4	90	78.750	11.250	Card	Free	0	90	Card	3	1	2
5000000181	EMP12197	05.01.19	C134589	RE10296	CA108051	3	68	59.500	8.500	Card	FlatRate	5	73	Card	1	4	2,5
5000000182	EMP14416	05.01.19	C140715	RE10515	CA101162	2	28	24.500	3.500	Card	Free	0	28	Card	5	3	4
5000000183	EMP14212	05.01.19	C109499	RE10311	CA103134	3	50	43.750	6.250	Card	Free	0	50	Card	5	5	5
5000000184	EMP13278	05.01.19	C123898	RE10377	CA101175	3	61	53.375	7.625	Card	FlatRate	5	66	Card	5	3	4
5000000185	EMP11071	05.01.19	C143936	RE10170	CA106847	2	52	45.500	6.500	Cash	Free	0	52	Cash	4	2	3
5000000186	EMP12206	05.01.19	C101402	RE10305	CA101970	5	109	95.375	13.625	Cash	FlatRate	5	114	Cash	2	5	3,5
5000000187	EMP13476	05.01.19	C150365	RE10575	CA102170	3	52	45.500	6.500	Card	Free	0	52	Card	5	4	4,5
5000000188	EMP12230	05.01.19	C156723	RE10329	CA107000	3	30	26.250	3.750	Card	Free	0	30	Card	1	5	3
5000000189	EMP12437	05.01.19	C126921	RE10536	CA108067	6	84	73.500	10.500	Card	Free	0	84	Card	5	4	4,5
5000000190	EMP14377	05.01.19	C146076	RE10476	CA107387	3	63	55.125	7.875	Card	Free	0	63	Card	3	3	3
5000000191	EMP12368	05.01.19	C121358	RE10467	CA106010	5	106	92.750	13.250	Card	Free	0	106	Card	4	1	2,5
5000000192	EMP13329	05.01.19	C111940	RE10428	CA106114	2	26	22.750	3.250	Card	Free	0	26	Card	3	1	2
5000000193	EMP11413	05.01.19	C138551	RE10512	CA100341	1	5	4.375	0.625	Cash	Free	0	5	Cash	1	5	3
5000000194	EMP14278	05.01.19	C117002	RE10377	CA108030	8	152	133.000	19.000	Card	FlatRate	5	157	Card	2	2	2
5000000195	EMP13302	05.01.19	C192174	RE10401	CA103472	6	48	42.000	6.000	Card	FlatRate	5	53	Card	2	4	3
5000000196	EMP14320	05.01.19	C102535	RE10419	CA109275	6	91	79.625	11.375	Card	Free	0	91	Card	2	2	2
5000000197	EMP13074	05.01.19	C121957	RE10173	CA106192	6	92	80.500	11.500	Card	Free	0	92	Card	1	2	1,5
5000000198	EMP12200	05.01.19	C183082	RE10299	CA108128	3	23	20.125	2.875	Cash	Free	0	23	Cash	4	3	3,5
5000000199	EMP11128	05.01.19	C111188	RE10227	CA101709	7	98	85.750	12.250	Card	FlatRate	10	108	Card	3	3	3
5000000200	EMP13254	05.01.19	C186367	RE10353	CA102273	5	125	109.375	15.625	Card	FlatRate	10	135	Card	4	1	2,5
5000000201	EMP14116	05.01.19	C146236	RE10215	CA108238	4	26	22.750	3.250	Cash	FlatRate	07. May	33.5	Cash	4	4	4
5000000202	EMP12320	05.01.19	C166039	RE10419	CA106480	4	65	56.875	8.125	Card	Free	0	65	Card	1	2	1,5
5000000203	EMP11419	05.01.19	C172019	RE10518	CA103720	1	21	18.375	2.625	Cash	FlatRate	10	31	Cash	4	4	4
5000000204	EMP11362	05.01.19	C168783	RE10461	CA105414	2	24	21.000	3.000	Card	Free	0	24	Card	4	5	4,5
5000000205	EMP11278	05.01.19	C180823	RE10377	CA106999	2	36	31.500	4.500	Cash	FlatRate	5	41	Cash	4	3	3,5
5000000206	EMP12212	05.01.19	C108145	RE10311	CA105981	1	14	12.250	1.750	Cash	Free	0	14	Cash	1	1	1
5000000207	EMP13293	05.01.19	C160365	RE10392	CA106410	6	96	84.000	12.000	Card	Free	0	96	Card	2	3	2,5
5000000208	EMP11485	05.01.19	C198892	RE10584	CA108007	8	110	96.250	13.750	Cash	Free	0	110	Cash	5	3	4
5000000209	EMP14107	05.01.19	C115909	RE10206	CA100950	5	68	59.500	8.500	Card	Free	0	68	Card	2	2	2
5000000210	EMP13476	05.01.19	C153089	RE10575	CA105385	2	34	29.750	4.250	Cash	Free	0	34	Cash	5	3	4
