RestaurantID;RestaurantName;AddressID;RestaurantAddress;RestaurantCity;RestaurantState;RestaurantCountry;RestaurantZIP;Alcohol;Smoking;DressCode;Pricing;Accessibility;Franchise;OtherServices;Parking;Cuisine;WorkingHours;OpeningTime;ClosingTime;WorkingDays;WorkingDay_Sunday;WorkingDay_Monday;WorkingDay_Tuesday;WorkingDay_Wednesday;WorkingDay_Thursday;WorkingDay_Friday;WorkingDay_Saturday;DeliveryType;DeliveryRate
RE10134;Shepherd''s Kitchen;A1078255;Wayridge;Berlin;Brandenburg;Germany;178030;No_Alcohol_Served;none;informal;1;no_accessibility;f;none;yes;Mexican;"14:00-23:30;";14:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10135;Chez Kama;A1080892;Talisman;Berlin;Brandenburg;Germany;542502;No_Alcohol_Served;none;informal;5;no_accessibility;f;Internet;none;Cafeteria;"14:00-23:30;";14:00;23:30;"Sun;";Yes;No;No;No;No;No;No;FlatRate;10
RE10136;New Naan On Devon & Grill;A1020990;Heath;Berlin;Brandenburg;Germany;272456;Wine-Beer;section;informal;1;no_accessibility;f;none;yes;Mexican;"13:00-23:00;";13:00;23:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10137;Montessori Magnet Academy Sed;A1040220;Pierstorff;Berlin;Brandenburg;Germany;386619;No_Alcohol_Served;none;informal;1;no_accessibility;f;none;yes;Japanese;"13:00-00:00;";13:00;00:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10138;Maplewood Estates;A1090511;Jay;Berlin;Brandenburg;Germany;501194;Wine-Beer;section;casual;2;no_accessibility;f;none;yes;Sushi;"13:00-22:00;";13:00;22:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10139;Frosty Freeze Ice Cream;A1062719;Vernon;Berlin;Brandenburg;Germany;884521;No_Alcohol_Served;not permitted;informal;3;partially;t;none;yes;Mexican;"13:00-23:30;";13:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10140;Papparedelle''s;A1004429;Summerview;Berlin;Brandenburg;Germany;22974;Wine-Beer;none;informal;3;no_accessibility;f;none;none;Seafood;"13:00-00:30;";13:00;00:30;"Sat;";No;No;No;No;No;No;Yes;FlatRate;7,5
RE10141;12th Avenue Market & Deli;A1018125;Blue Bill Park;Berlin;Brandenburg;Germany;147878;No_Alcohol_Served;permitted;informal;2;completely;t;none;yes;Cafeteria;"13:00-01:00;";13:00;01:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10142;Lawrence Diner;A1097684;Bashford;Berlin;Brandenburg;Germany;878754;No_Alcohol_Served;none;informal;3;no_accessibility;f;none;none;Burgers;"10:00-23:30;";10:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10143;D''andrea''s Pizza;A1002728;Graceland;Berlin;Brandenburg;Germany;479501;No_Alcohol_Served;none;informal;2;completely;f;none;yes;Fast_Food;"10:00-23:30;";10:00;23:30;"Sat;";No;No;No;No;No;No;Yes;FlatRate;7,5
RE10144;Lin Garden & Catering;A1045649;Cordelia;Berlin;Brandenburg;Germany;265425;No_Alcohol_Served;not permitted;informal;4;no_accessibility;f;none;none;Fast_Food;"11:00-23:30;";11:00;23:30;"Sun;";Yes;No;No;No;No;No;No;FlatRate;5
RE10145;Slap Happy Cafe;A1005882;Birchwood;Berlin;Brandenburg;Germany;546534;Wine-Beer;not permitted;informal;2;completely;f;none;yes;Chinese;"11:00-23:30;";11:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10146;Asian Spoon;A1088248;Lillian;Berlin;Brandenburg;Germany;312865;Wine-Beer;none;informal;2;completely;t;variety;yes;Seafood;"11:00-23:30;";11:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10147;Bernie''s Deli Inc.;A1068766;Huxley;Berlin;Brandenburg;Germany;666283;Wine-Beer;section;informal;2;no_accessibility;f;none;none;Contemporary;"11:00-22:00;";11:00;22:00;"Sun;";Yes;No;No;No;No;No;No;FlatRate;7,5
RE10148;Maureen Mullanys Pub;A1001043;Artisan;Berlin;Brandenburg;Germany;71439;Wine-Beer;none;informal;2;completely;t;none;yes;Bar;"12:00-22:00;";12:00;22:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10149;Guckenheimer & Groupon;A1050311;Johnson;Berlin;Brandenburg;Germany;396380;No_Alcohol_Served;none;informal;2;no_accessibility;f;none;public;Bar_Pub_Brewery;"12:00-22:00;";12:00;22:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10150;Johnny''s Grill;A1053902;Beilfuss;Berlin;Brandenburg;Germany;914879;No_Alcohol_Served;section;informal;3;no_accessibility;f;none;yes;Japanese;"12:00-22:00;";12:00;22:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10151;Wildwood Alternative Education;A1032398;Anthes;Berlin;Brandenburg;Germany;326318;No_Alcohol_Served;none;informal;3;no_accessibility;f;none;none;Bar;"09:00-17:00;";09:00;17:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10152;Mama Sushi;A1003208;Sachs;Berlin;Brandenburg;Germany;145917;Wine-Beer;section;informal;1;no_accessibility;f;none;yes;Bar_Pub_Brewery;"09:00-13:00;";09:00;13:00;"Sat;";No;No;No;No;No;No;Yes;FlatRate;5
RE10153;Le Fournil;A1097536;Muir;Berlin;Brandenburg;Germany;210803;No_Alcohol_Served;none;informal;2;no_accessibility;f;none;yes;Bar;"00:00-23:30;";00:00;23:30;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10154;Oswego Hots;A1023918;Coleman;Berlin;Brandenburg;Germany;611451;No_Alcohol_Served;none;informal;4;no_accessibility;f;none;yes;Contemporary;"11:00-21:00;";11:00;21:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10155;Manzene''s Greenside;A1061579;Shelley;Berlin;Brandenburg;Germany;111955;No_Alcohol_Served;section;informal;4;no_accessibility;f;none;none;Seafood;"11:00-21:00;";11:00;21:00;"Sat;";No;No;No;No;No;No;Yes;FlatRate;5
RE10156;Lawrence & Marine;A1048367;Declaration;Berlin;Brandenburg;Germany;803744;No_Alcohol_Served;none;informal;3;completely;f;none;none;Bar;"11:00-21:00;";11:00;21:00;"Sun;";Yes;No;No;No;No;No;No;FlatRate;10
RE10157;Waterfor;A1047786;Pawling;Berlin;Brandenburg;Germany;164991;Wine-Beer;section;informal;3;no_accessibility;f;none;yes;Pizzeria;"07:00-00:00;";07:00;00:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10158;Sweet As Honey;A1069073;Knutson;Berlin;Brandenburg;Germany;890696;Full_Bar;permitted;informal;2;completely;f;variety;none;Bar;"07:00-00:00;";07:00;00:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10159;West Haven Martket & Grill;A1058016;Reinke;Berlin;Brandenburg;Germany;71070;No_Alcohol_Served;none;informal;5;no_accessibility;f;none;yes;Bar;"07:00-00:00;";07:00;00:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10160;Katerii Tekakwitha Parish;A1035670;Lindbergh;Berlin;Brandenburg;Germany;268195;No_Alcohol_Served;section;informal;4;no_accessibility;f;none;yes;Mexican;"13:00-20:00;";13:00;20:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;10
RE10161;Babycakes Cafe;A1024798;Glacier Hill;Berlin;Brandenburg;Germany;578746;No_Alcohol_Served;none;informal;4;no_accessibility;f;none;yes;Seafood;"13:00-20:00;";13:00;20:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10162;Good Food Cafe;A1038479;Armistice;Berlin;Brandenburg;Germany;354520;Full_Bar;section;informal;2;completely;f;none;yes;Cafeteria;"13:00-20:00;";13:00;20:00;"Sun;";Yes;No;No;No;No;No;No;FlatRate;5
RE10163;Super Low Meat Market;A1026280;Elka;Berlin;Brandenburg;Germany;182709;No_Alcohol_Served;section;informal;4;no_accessibility;f;none;none;Fast_Food;"09:00-16:00;";09:00;16:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10164;Taste Of Distinction;A1051086;Bartillon;Berlin;Brandenburg;Germany;151388;No_Alcohol_Served;not permitted;informal;4;no_accessibility;t;none;none;Pizzeria;"00:00-00:00;";00:00;00:00;"Sat;";No;No;No;No;No;No;Yes;FlatRate;5
RE10165;Bella Vita Trattoria;A1078416;Mcbride;Berlin;Brandenburg;Germany;470505;Full_Bar;none;informal;3;no_accessibility;f;none;none;Bar;"00:00-00:00;";00:00;00:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10166;Schenectady Jc Little League;A1089017;International;Berlin;Brandenburg;Germany;524175;No_Alcohol_Served;none;informal;4;no_accessibility;f;none;none;Bar_Pub_Brewery;"08:00-23:00;";08:00;23:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10167;Azteca Mexican Restaurant Fse;A1082989;Sunbrook;Berlin;Brandenburg;Germany;198597;No_Alcohol_Served;none;informal;2;no_accessibility;t;none;yes;Seafood;"08:00-23:00;";08:00;23:00;"Sat;";No;No;No;No;No;No;Yes;FlatRate;7,5
RE10168;Sugar Lips;A1085442;Melody;Berlin;Brandenburg;Germany;200925;No_Alcohol_Served;none;informal;1;completely;f;none;yes;Bar;"08:00-23:00;";08:00;23:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10169;Front Street Deli LLC.;A1008716;Beilfuss;Berlin;Brandenburg;Germany;139787;Full_Bar;none;informal;5;no_accessibility;f;none;none;Fast_Food;"00:00-00:00;";00:00;00:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10170;Ywca Woodward Park;A1085645;Talisman;Berlin;Brandenburg;Germany;203656;No_Alcohol_Served;none;informal;2;completely;f;none;yes;Chinese;"00:00-00:00;";00:00;00:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10171;Geulah''s Kosher Cafe & Deli;A1077840;Morrow;Berlin;Brandenburg;Germany;695833;No_Alcohol_Served;none;informal;5;no_accessibility;f;none;yes;Fast_Food;"00:00-00:00;";00:00;00:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10172;Bd''s Mongolian Barbeque;A1005327;Express;Berlin;Brandenburg;Germany;179560;Full_Bar;not permitted;informal;5;completely;t;variety;yes;Pizzeria;"11:00-23:00;";11:00;23:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;10
RE10173;J.g.''s Pizza;A1026476;Susan;Berlin;Brandenburg;Germany;561095;No_Alcohol_Served;none;informal;3;completely;f;none;none;Chinese;"11:00-23:00;";11:00;23:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10174;Mad.cty.children''s Camp Temp.res.;A1007660;Golf View;Berlin;Brandenburg;Germany;466944;Wine-Beer;section;informal;3;no_accessibility;f;none;none;Bar;"11:00-23:00;";11:00;23:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10175;Caldas Bar;A1015260;Loftsgordon;Berlin;Brandenburg;Germany;754702;No_Alcohol_Served;not permitted;casual;5;completely;f;none;public;Cafeteria;"10:00-18:00;";10:00;18:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10176;Reza''s On Ontario;A1005978;Mcguire;Berlin;Brandenburg;Germany;509142;No_Alcohol_Served;none;informal;1;completely;f;none;yes;Seafood;"10:00-18:00;";10:00;18:00;"Sat;";No;No;No;No;No;No;Yes;FlatRate;5
RE10177;Hot Mollies;A1005105;Green;Berlin;Brandenburg;Germany;879178;No_Alcohol_Served;none;informal;4;no_accessibility;f;none;none;Mexican;"10:00-18:00;";10:00;18:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10178;Restaurant Mediterraneo;A1094810;Briar Crest;Berlin;Brandenburg;Germany;284392;No_Alcohol_Served;section;informal;3;no_accessibility;f;none;none;Bar;"14:00-23:30;";14:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10179;Dylan;A1009051;Maple Wood;Berlin;Brandenburg;Germany;179936;Full_Bar;section;informal;4;no_accessibility;f;none;none;Italian;"14:00-23:30;";14:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10180;Mountain Gourmet Meats;A1037989;Schlimgen;Berlin;Brandenburg;Germany;957657;No_Alcohol_Served;not permitted;casual;5;no_accessibility;f;none;none;Japanese;"14:00-23:30;";14:00;23:30;"Sun;";Yes;No;No;No;No;No;No;FlatRate;7,5
RE10181;Sharpe Res. Camp Tommy Sed Site;A1003548;David;Berlin;Brandenburg;Germany;663803;No_Alcohol_Served;permitted;casual;5;no_accessibility;f;none;none;Cafeteria;"14:00-23:30;";14:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10182;Brownies;A1013654;Old Shore;Berlin;Brandenburg;Germany;209019;Wine-Beer;none;informal;4;no_accessibility;f;none;none;Contemporary;"14:00-23:30;";14:00;23:30;"Sat;";No;No;No;No;No;No;Yes;FlatRate;7,5
RE10183;Sardo''s Pizzeria Of Cicero;A1088158;Sutherland;Berlin;Brandenburg;Germany;334180;No_Alcohol_Served;not permitted;informal;1;partially;f;none;yes;Seafood;"14:00-23:30;";14:00;23:30;"Sun;";Yes;No;No;No;No;No;No;FlatRate;5
RE10184;Canastota H;A1011749;Cordelia;Berlin;Brandenburg;Germany;824851;No_Alcohol_Served;not permitted;informal;5;completely;t;none;none;Cafe-Coffee_Shop;"13:00-22:30;";13:00;22:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;5
RE10185;Gourmet Taste;A1053926;Clove;Berlin;Brandenburg;Germany;689309;No_Alcohol_Served;none;informal;5;completely;f;none;none;Cafeteria;"13:30-22:30;";13:30;22:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10186;Espresso Time Ltd;A1016999;Nova;Berlin;Brandenburg;Germany;751329;No_Alcohol_Served;permitted;informal;4;completely;f;none;public;Bar;"13:30-22:30;";13:30;22:30;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10187;The Gray Turkey;A1079173;Cardinal;Berlin;Brandenburg;Germany;441955;No_Alcohol_Served;none;informal;2;completely;f;none;yes;Bar_Pub_Brewery;"14:00-20:00;";14:00;20:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10188;Paradise Restaurant;A1069638;Lindbergh;Berlin;Brandenburg;Germany;748531;Wine-Beer;permitted;informal;1;no_accessibility;f;none;none;Mexican;"14:00-20:00;";14:00;20:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10189;Purchase Deli;A1024303;Holy Cross;Berlin;Brandenburg;Germany;6474;No_Alcohol_Served;not permitted;informal;2;no_accessibility;t;none;yes;Mexican;"14:00-20:00;";14:00;20:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10190;Kam Sheng Restaurant;A1013040;Ramsey;Berlin;Brandenburg;Germany;997978;No_Alcohol_Served;not permitted;informal;3;partially;f;none;none;Bar;"06:00-18:00;";06:00;18:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10191;Third Rail Diner LLC;A1068140;Main;Berlin;Brandenburg;Germany;559286;Wine-Beer;none;informal;3;no_accessibility;f;none;none;Bar_Pub_Brewery;"00:00-00:00;";00:00;00:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10192;Yogurt Place;A1032097;Maple;Berlin;Brandenburg;Germany;601804;No_Alcohol_Served;not permitted;informal;4;completely;f;none;none;Mexican;"00:00-23:30;";00:00;23:30;"Sun;";Yes;No;No;No;No;No;No;FlatRate;5
RE10193;Local Of Taberg;A1004556;Monica;Berlin;Brandenburg;Germany;26075;No_Alcohol_Served;none;informal;3;completely;t;none;none;Mexican;"12:00-23:30;";12:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10194;Holiday Inn Food Service;A1065115;Grasskamp;Berlin;Brandenburg;Germany;336803;No_Alcohol_Served;not permitted;informal;4;completely;t;none;none;Fast_Food;"12:00-23:30;";12:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10195;Merrill Magee Hous;A1050676;Del Sol;Berlin;Brandenburg;Germany;522099;No_Alcohol_Served;permitted;formal;5;completely;f;none;none;Bar;"12:00-23:30;";12:00;23:30;"Sun;";Yes;No;No;No;No;No;No;FlatRate;7,5
RE10196;El Versalle Restaurant;A1041884;Walton;Berlin;Brandenburg;Germany;734101;No_Alcohol_Served;none;informal;3;no_accessibility;f;none;none;Mexican;"00:00-23:30;";00:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;10
RE10197;Moviehouse;A1063251;Village Green;Berlin;Brandenburg;Germany;319079;Wine-Beer;none;informal;5;no_accessibility;f;none;none;Bar;"00:00-23:30;";00:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10198;Lazzarano''s Pizza;A1090069;Nobel;Berlin;Brandenburg;Germany;826187;Wine-Beer;permitted;casual;4;partially;f;variety;none;Mexican;"00:00-23:30;";00:00;23:30;"Sun;";Yes;No;No;No;No;No;No;Free;0
