"ADDRESSID","STREET","CITY","POSTALCODE","BUILDING","COUNTRY","REGION","ADDRESSTYPE","VALIDITY_STARTDATE","VALIDITY_ENDDATE","LATITUDE","LONGITUDE"
"1000000060","Box No. 39388","Dubai","39388","","DU","EMEA","2","2000-01-01","9999-12-31",25.013792,55.131876
"1000000061","Box No. 92064","Dubai","92064","","DU","EMEA","2","2000-01-01","9999-12-31",24.960345,55.124104
"1000000062","Box No. 30134","Dubai","30134","","DU","EMEA","2","2000-01-01","9999-12-31",24.956728,55.120386
"1000000063","Box No. 16939","Jebel Ali Free Zone","16939","","DU","EMEA","2","2000-01-01","9999-12-31",24.963277,55.053726
"1000000064","St. John Street","Borden","S4P 3Y2","3578","CA","AMER","2","2000-01-01","9999-12-31",47.595469,-52.703448
"1000000065","Heatherleigh","Cooksville","L5A 1V9","3404","CA","AMER","2","2000-01-01","9999-12-31",43.570089,-79.609911
"1000000066","Elgin Street","Iroquois","K0E 1K0","1008","CA","AMER","2","2000-01-01","9999-12-31",44.845124,-75.31828
"1000000067","rue des Églises Est","Schefferville","J0C 1G0","2273","CA","AMER","2","2000-01-01","9999-12-31",54.809261,-66.815519
"1000000068","Adelaide St","Toronto","M5H 1P6","1483","CA","AMER","2","2000-01-01","9999-12-31",43.647763,-79.391022
"1000000069","rue Ernest Renan","Chelles","77500","21","FR","EMEA","2","2000-01-01","9999-12-31",48.878471,2.58987
"1000000070","Place Napoléon","Laon","2000","55","FR","EMEA","2","2000-01-01","9999-12-31",49.553186,3.627835
"1000000071"," rue Jean Vilar","Besanon","25000","73","FR","EMEA","2","2000-01-01","9999-12-31",47.242859,6.035751
"1000000072","rue de Lille","Athis-Mons","91200","54","FR","EMEA","2","2000-01-01","9999-12-31",48.705235,2.375049
"1000000073","rue Nationale","Paris","75006","114","FR","EMEA","2","2000-01-01","9999-12-31",48.827364,2.366021
"1000000001","Fraggle Drive","Burr Ridge","60527","996","US","AMER","1","2000-01-01","9999-12-31",41.74849,-87.918277
"1000000002","Borstelmannsweg","Floß","92683","57","DE","EMEA","1","2000-01-01","9999-12-31",53.550141,10.052733
"1000000003","Nenthead Road","High Halden","TN26 7GJ","126","GB","EMEA","1","2000-01-01","9999-12-31",51.101237,0.698829
"1000000004","Chester Street","Sleepy Hollow","2483","48","AU","APJ","1","2000-01-01","9999-12-31",-28.420591,153.524102
"1000000005","T.k.indui Estate","Mumbai","400015","11","IN","APJ","1","2000-01-01","9999-12-31",19.175001,72.850043
"1000000006","Box No. 89610","Dubai","89610","","DU","EMEA","1","2000-01-01","9999-12-31",24.968781,55.129116
"1000000007","St. John Street","Annaheim","S4P 3Y2","2845","CA","AMER","1","2000-01-01","9999-12-31",52.319432,-104.820274
"1000000008","rue Descartes","Strasbourg","67100","23","FR","EMEA","1","2000-01-01","9999-12-31",48.578824,7.762616
"1000000009","Par Drive","San Luis Obispo","93401","1378","US","AMER","1","2000-01-01","9999-12-31",35.284387,-120.659734
"1000000010","Lakewood Drive","Jersey City","7305","285","US","AMER","1","2000-01-01","9999-12-31",40.816042,-74.188869
"1000000011","Frederick Street","Wingate","79566","728","US","AMER","1","2000-01-01","9999-12-31",39.418878,-77.409172
"1000000012","Victoria Park Ave","Toronto","M2J 3T7","2523","CA","AMER","1","2000-01-01","9999-12-31",43.748615,-79.311992
"1000000013","Sheppard Ave","Toronto","M1S 1T4","1122","CA","AMER","1","2000-01-01","9999-12-31",43.74748,-79.482548
"1000000014","Paris St","Toronto","P3E 4N2","3443","CA","AMER","1","2000-01-01","9999-12-31",43.609163,-79.645953
"1000000015","Ruster Strasse","PALLWEIS","3522 ","13","AS","EMEA","1","2000-01-01","9999-12-31",48.415853,15.441149
"1000000016","Rue Bouhou","Schaltin","5364","331","BG","EMEA","1","2000-01-01","9999-12-31",50.361972,5.145591
"1000000017","Budovatelská","Skocice","387 75","337","CZ","EMEA","1","2000-01-01","9999-12-31",49.475526,13.323332
"1000000018","Albanivej","Tinglev","6360","29","DK","EMEA","1","2000-01-01","9999-12-31",54.905481,9.155081
"1000000019","Kuhnustantie ","HAAPAJÄRVI","85800","98","FI","EMEA","1","2000-01-01","9999-12-31",63.682951,25.430911
"1000000020","Ringvej ","Qaqortoq","3920","189","GL","EMEA","1","2000-01-01","9999-12-31",60.689979,-46.031363
"1000000021","Teréz krt","Csókakô","8074","10","HU","EMEA","1","2000-01-01","9999-12-31",47.418379,18.349385
"1000000022","Piazza San Carlo","Rimella VC","13020","60","IT","EMEA","1","2000-01-01","9999-12-31",45.694724,8.106223
"1000000023","Leliensingel","Geleen","6163 CN","58","NL","EMEA","1","2000-01-01","9999-12-31",51.05434,5.753346
"1000000024","Jalan Schoen Highway","Tengah","197058","63","SG","APJ","1","2000-01-01","9999-12-31",40.24141,-118.964247
"1000000025","KeterehJalan Chan Sow Lin","Kelantan Darul Naim ","15184","371","ML","APJ","1","2000-01-01","9999-12-31",38.308833,-77.726227
"1000000026","Earnest Street","Valentin","97477","79","TH","APJ","1","2000-01-01","9999-12-31",37.287414,-79.192635
"1000000027","Dk. Siliwangi No.","Banjarmasin","53536","210","ID","APJ","1","2000-01-01","9999-12-31",38.116405,-97.459385
