"SALESORDERID","CREATEDBY","CREATEDAT","CHANGEDBY","CHANGEDAT","FISCVARIANT","FISCALYEARPERIOD","NOTEID","PARTNERID","SALESORG","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","LIFECYCLESTATUS","BILLINGSTATUS","DELIVERYSTATUS"
"0500000059","0000000012","2016-02-02","0000000012","2016-02-03","K4","2016002","","100000002","AMER","USD",7085.25,6298.00,787.25,"","","X"
"0500000060","0000000022","2016-02-03","0000000022","2016-02-05","K4","2016002","","100000010","EMEA","USD",186040.12,165369.00,20671.12,"","","C"
"0500000061","0000000021","2016-02-03","0000000021","2016-02-04","K4","2016002","","100000011","EMEA","USD",91011.37,80899.00,10112.37,"","","C"
"0500000062","0000000012","2016-02-04","0000000012","2016-02-06","K4","2016002","","100000030","AMER","USD",16792.87,14927.00,1865.87,"","","C"
"0500000063","0000000010","2016-02-04","0000000010","2016-02-07","K4","2016002","","100000000","AMER","USD",99555.74,88494.00,11061.74,"","","C"
"0500000064","0000000023","2016-02-05","0000000023","2016-02-06","K4","2016002","","100000028","EMEA","USD",122590.11,108969.00,13621.11,"","","C"
"0500000065","0000000024","2016-02-06","0000000024","2016-02-09","K4","2016002","","100000018","APJ","USD",36812.25,32722.00,4090.25,"","","C"
"0500000066","0000000027","2016-02-07","0000000027","2016-02-08","K4","2016002","","100000024","APJ","USD",26736.75,23766.00,2970.75,"","","C"
"0500000067","0000000022","2016-02-07","0000000022","2016-02-10","K4","2016002","","100000038","EMEA","USD",14560.86,12943.00,1617.86,"","","C"
"0500000068","0000000007","2016-02-08","0000000007","2016-02-10","K4","2016002","","100000030","AMER","USD",127646.98,113464.00,14182.98,"","","C"
"0500000069","0000000020","2016-02-08","0000000020","2016-02-09","K4","2016002","","100000012","EMEA","USD",150843.36,134083.00,16760.36,"","","C"
"0500000070","0000000024","2016-02-08","0000000024","2016-02-09","K4","2016002","","100000024","APJ","USD",95845.48,85196.00,10649.48,"","","C"
"0500000071","0000000012","2016-02-09","0000000012","2016-02-12","K4","2016002","","100000032","AMER","USD",63600.74,56534.00,7066.74,"","","C"
"0500000072","0000000026","2016-02-10","0000000026","2016-02-11","K4","2016002","","100000023","APJ","USD",126525.36,112467.00,14058.36,"","","C"
"0500000073","0000000006","2016-02-10","0000000006","2016-02-13","K4","2016002","","100000036","EMEA","USD",40904.99,36360.00,4544.99,"","","C"
"0500000074","0000000024","2016-02-10","0000000024","2016-02-11","K4","2016002","","100000020","APJ","USD",24672.37,21931.00,2741.37,"","","C"
"0500000075","0000000020","2016-02-10","0000000020","2016-02-11","K4","2016002","","100000005","EMEA","USD",119570.61,106285.00,13285.61,"","","C"
"0500000076","0000000019","2016-02-10","0000000019","2016-02-13","K4","2016002","","100000028","EMEA","USD",80179.87,71271.00,8908.87,"","","C"
"0500000077","0000000011","2016-02-11","0000000011","2016-02-12","K4","2016002","","100000034","AMER","USD",14157.00,12584.00,1573.00,"","","C"
"0500000078","0000000007","2016-02-12","0000000007","2016-02-13","K4","2016002","","100000032","AMER","USD",116194.48,103284.00,12910.48,"","","C"
"0500000079","0000000012","2016-02-12","0000000012","2016-02-13","K4","2016002","","100000033","AMER","USD",120367.11,106993.00,13374.11,"","","C"
"0500000080","0000000022","2016-02-12","0000000022","2016-02-14","K4","2016002","","100000012","EMEA","USD",124412.62,110589.00,13823.62,"","","C"
"0500000081","0000000018","2016-02-12","0000000018","2016-02-14","K4","2016002","","100000036","EMEA","USD",120515.61,107125.00,13390.61,"","","C"
"0500000082","0000000013","2016-02-13","0000000013","2016-02-15","K4","2016002","","100000000","AMER","USD",146316.37,130059.00,16257.37,"","","C"
"0500000083","0000000017","2016-02-14","0000000017","2016-02-15","K4","2016002","","100000010","EMEA","USD",53842.47,47860.00,5982.47,"","","C"
"0500000084","0000000022","2016-02-15","0000000022","2016-02-17","K4","2016002","","100000038","EMEA","USD",58083.74,51630.00,6453.74,"","","C"
"0500000085","0000000013","2016-02-16","0000000013","2016-02-19","K4","2016002","","100000033","AMER","USD",62697.37,55731.00,6966.37,"","","X"
"0500000086","0000000009","2016-02-17","0000000009","2016-02-20","K4","2016002","","100000004","AMER","USD",78045.74,69374.00,8671.74,"","","C"
"0500000087","0000000020","2016-02-17","0000000020","2016-02-19","K4","2016002","","100000008","EMEA","USD",35769.36,31795.00,3974.36,"","","C"
"0500000088","0000000024","2016-02-17","0000000024","2016-02-18","K4","2016002","","100000021","APJ","USD",152738.99,135768.00,16970.99,"","","C"
"0500000089","0000000015","2016-02-17","0000000015","2016-02-20","K4","2016002","","100000005","EMEA","USD",237182.61,210829.00,26353.61,"","","C"
"0500000090","0000000004","2016-02-18","0000000004","2016-02-19","K4","2016002","","100000020","APJ","USD",157768.86,140239.00,17529.86,"","","C"
"0500000091","0000000024","2016-02-18","0000000024","2016-02-19","K4","2016002","","100000022","APJ","USD",55987.87,49767.00,6220.87,"","","C"
"0500000092","0000000025","2016-02-19","0000000025","2016-02-20","K4","2016002","","100000021","APJ","USD",30503.24,27114.00,3389.24,"","","C"
"0500000093","0000000011","2016-02-19","0000000011","2016-02-22","K4","2016002","","100000033","AMER","USD",33505.87,29783.00,3722.87,"","","X"
"0500000094","0000000018","2016-02-19","0000000018","2016-02-21","K4","2016002","","100000010","EMEA","USD",71404.86,63471.00,7933.86,"","","C"
"0500000095","0000000010","2016-02-20","0000000010","2016-02-22","K4","2016002","","100000002","AMER","USD",8175.37,7267.00,908.37,"","","C"
"0500000096","0000000019","2016-02-20","0000000019","2016-02-23","K4","2016002","","100000013","EMEA","USD",116247.36,103331.00,12916.36,"","","C"
"0500000097","0000000003","2016-02-21","0000000003","2016-02-24","K4","2016002","","100000009","EMEA","USD",20250.00,18000.00,2250.00,"","","X"
"0500000098","0000000016","2016-02-22","0000000016","2016-02-23","K4","2016002","","100000026","EMEA","USD",88474.49,78644.00,9830.49,"","","C"
"0500000099","0000000025","2016-02-23","0000000025","2016-02-25","K4","2016002","","100000020","APJ","USD",128915.98,114592.00,14323.98,"","","C"
"0500000100","0000000010","2016-02-23","0000000010","2016-02-24","K4","2016002","","100000030","AMER","USD",30243.37,26883.00,3360.37,"","","C"
"0500000101","0000000015","2016-02-23","0000000015","2016-02-25","K4","2016002","","100000013","EMEA","USD",3947.62,3509.00,438.62,"","","C"
"0500000102","0000000020","2016-02-24","0000000020","2016-02-27","K4","2016002","","100000007","EMEA","USD",211830.73,188294.00,23536.73,"","","C"
"0500000103","0000000026","2016-02-25","0000000026","2016-02-27","K4","2016002","","100000022","APJ","USD",37643.61,33461.00,4182.61,"","","C"
"0500000104","0000000025","2016-02-25","0000000025","2016-02-27","K4","2016002","","100000024","APJ","USD",42492.37,37771.00,4721.37,"","","C"
"0500000105","0000000026","2016-02-25","0000000026","2016-02-26","K4","2016002","","100000020","APJ","USD",73063.12,64945.00,8118.12,"","","C"
"0500000106","0000000010","2016-02-26","0000000010","2016-02-28","K4","2016002","","100000031","AMER","USD",59394.36,52795.00,6599.36,"","","C"
"0500000107","0000000009","2016-02-27","0000000009","2016-02-29","K4","2016002","","100000000","AMER","USD",154717.87,137527.00,17190.87,"","","P"
"0500000108","0000000006","2016-02-27","0000000006","2016-02-29","K4","2016002","","100000025","EMEA","USD",8646.75,7686.00,960.75,"","","C"
"0500000109","0000000017","2016-02-27","0000000017","2016-02-29","K4","2016002","","100000013","EMEA","USD",2962.12,2633.00,329.12,"","","C"
"0500000110","0000000011","2016-02-27","0000000011","2016-02-28","K4","2016002","","100000004","AMER","USD",25495.86,22663.00,2832.86,"","","C"
"0500000111","0000000024","2016-02-27","0000000024","2016-02-29","K4","2016002","","100000016","APJ","USD",53584.86,47631.00,5953.86,"","","C"
"0500000112","0000000014","2016-02-28","0000000014","2016-03-02","K4","2016002","","100000032","AMER","USD",34200.00,30400.00,3800.00,"","","C"
"0500000113","0000000010","2016-02-29","0000000010","2016-03-01","K4","2016002","","100000033","AMER","USD",101405.24,90138.00,11267.24,"","","C"
"0500000114","0000000007","2016-03-01","0000000007","2016-03-04","K4","2016003","","100000004","AMER","USD",59720.62,53085.00,6635.62,"","","C"
"0500000115","0000000007","2016-03-01","0000000007","2016-03-04","K4","2016003","","100000031","AMER","USD",1460.25,1298.00,162.25,"","","C"
"0500000116","0000000004","2016-03-02","0000000004","2016-03-04","K4","2016003","","100000015","APJ","USD",38982.37,34651.00,4331.37,"","","X"
"0500000117","0000000012","2016-03-02","0000000012","2016-03-04","K4","2016003","","100000001","AMER","USD",114176.23,101490.00,12686.23,"","","C"
"0500000118","0000000024","2016-03-02","0000000024","2016-03-04","K4","2016003","","100000016","APJ","USD",134525.23,119578.00,14947.23,"","","C"
"0500000119","0000000023","2016-03-03","0000000023","2016-03-04","K4","2016003","","100000036","EMEA","USD",18131.61,16117.00,2014.61,"","","C"
"0500000120","0000000015","2016-03-04","0000000015","2016-03-06","K4","2016003","","100000007","EMEA","USD",103413.36,91923.00,11490.36,"","","C"
"0500000121","0000000021","2016-03-04","0000000021","2016-03-05","K4","2016003","","100000029","EMEA","USD",41737.50,37100.00,4637.50,"","","C"
"0500000122","0000000016","2016-03-05","0000000016","2016-03-08","K4","2016003","","100000036","EMEA","USD",136427.61,121269.00,15158.61,"","","C"
"0500000123","0000000019","2016-03-06","0000000019","2016-03-07","K4","2016003","","100000039","EMEA","USD",1795.50,1596.00,199.50,"","","C"
"0500000124","0000000007","2016-03-07","0000000007","2016-03-09","K4","2016003","","100000033","AMER","USD",8997.75,7998.00,999.75,"","","C"
"0500000125","0000000021","2016-03-07","0000000021","2016-03-08","K4","2016003","","100000008","EMEA","USD",97435.12,86609.00,10826.12,"","","C"
"0500000126","0000000009","2016-03-07","0000000009","2016-03-10","K4","2016003","","100000001","AMER","USD",67794.73,60262.00,7532.73,"","","C"
"0500000127","0000000003","2016-03-08","0000000003","2016-03-09","K4","2016003","","100000013","EMEA","USD",49487.62,43989.00,5498.62,"","","C"
"0500000128","0000000025","2016-03-08","0000000025","2016-03-10","K4","2016003","","100000024","APJ","USD",82675.11,73489.00,9186.11,"","","C"
"0500000129","0000000019","2016-03-08","0000000019","2016-03-11","K4","2016003","","100000037","EMEA","USD",42483.37,37763.00,4720.37,"","","C"
"0500000130","0000000007","2016-03-08","0000000007","2016-03-09","K4","2016003","","100000032","AMER","USD",60035.62,53365.00,6670.62,"","","C"
"0500000131","0000000004","2016-03-09","0000000004","2016-03-10","K4","2016003","","100000023","APJ","USD",28160.99,25032.00,3128.99,"","","C"
"0500000132","0000000004","2016-03-09","0000000004","2016-03-11","K4","2016003","","100000018","APJ","USD",54444.35,48395.00,6049.35,"","","C"
"0500000133","0000000027","2016-03-10","0000000027","2016-03-11","K4","2016003","","100000018","APJ","USD",8650.12,7689.00,961.12,"","","C"
"0500000134","0000000022","2016-03-11","0000000022","2016-03-12","K4","2016003","","100000010","EMEA","USD",46208.24,41074.00,5134.24,"","","C"
"0500000135","0000000025","2016-03-12","0000000025","2016-03-15","K4","2016003","","100000022","APJ","USD",22340.24,19858.00,2482.24,"","","X"
"0500000136","0000000018","2016-03-12","0000000018","2016-03-14","K4","2016003","","100000010","EMEA","USD",11397.37,10131.00,1266.37,"","","C"
"0500000137","0000000003","2016-03-13","0000000003","2016-03-14","K4","2016003","","100000027","EMEA","USD",95925.37,85267.00,10658.37,"","","C"
"0500000138","0000000016","2016-03-13","0000000016","2016-03-15","K4","2016003","","100000028","EMEA","USD",130987.11,116433.00,14554.11,"","","C"
"0500000139","0000000019","2016-03-13","0000000019","2016-03-15","K4","2016003","","100000038","EMEA","USD",51859.12,46097.00,5762.12,"","","C"
"0500000140","0000000018","2016-03-13","0000000018","2016-03-15","K4","2016003","","100000036","EMEA","USD",140012.99,124456.00,15556.99,"","","C"
"0500000141","0000000027","2016-03-13","0000000027","2016-03-15","K4","2016003","","100000020","APJ","USD",33645.37,29907.00,3738.37,"","","P"
"0500000142","0000000012","2016-03-14","0000000012","2016-03-15","K4","2016003","","100000032","AMER","USD",33736.50,29988.00,3748.50,"","","C"
"0500000143","0000000023","2016-03-14","0000000023","2016-03-15","K4","2016003","","100000026","EMEA","USD",38810.25,34498.00,4312.25,"","","C"
"0500000144","0000000009","2016-03-14","0000000009","2016-03-16","K4","2016003","","100000034","AMER","USD",97701.74,86846.00,10855.74,"","","C"
"0500000145","0000000019","2016-03-14","0000000019","2016-03-15","K4","2016003","","100000006","EMEA","USD",33750.00,30000.00,3750.00,"","","C"
"0500000146","0000000007","2016-03-14","0000000007","2016-03-16","K4","2016003","","100000031","AMER","USD",217775.22,193578.00,24197.22,"","","C"
"0500000147","0000000006","2016-03-14","0000000006","2016-03-17","K4","2016003","","100000012","EMEA","USD",91357.85,81207.00,10150.85,"","","C"
"0500000148","0000000022","2016-03-14","0000000022","2016-03-17","K4","2016003","","100000005","EMEA","USD",94775.60,84245.00,10530.60,"","","C"
"0500000149","0000000022","2016-03-15","0000000022","2016-03-17","K4","2016003","","100000008","EMEA","USD",164802.35,146491.00,18311.35,"","","C"
"0500000150","0000000027","2016-03-15","0000000027","2016-03-17","K4","2016003","","100000019","APJ","USD",28122.75,24998.00,3124.75,"","","C"
"0500000151","0000000015","2016-03-15","0000000015","2016-03-16","K4","2016003","","100000014","EMEA","USD",33718.48,29972.00,3746.48,"","","X"
"0500000152","0000000006","2016-03-15","0000000006","2016-03-18","K4","2016003","","100000005","EMEA","USD",112576.49,100068.00,12508.49,"","","C"
"0500000153","0000000021","2016-03-16","0000000021","2016-03-18","K4","2016003","","100000037","EMEA","USD",51644.25,45906.00,5738.25,"","","C"
"0500000154","0000000022","2016-03-16","0000000022","2016-03-17","K4","2016003","","100000026","EMEA","USD",214045.86,190263.00,23782.86,"","","C"
"0500000155","0000000019","2016-03-17","0000000019","2016-03-19","K4","2016003","","100000037","EMEA","USD",134476.85,119535.00,14941.85,"","","C"
"0500000156","0000000004","2016-03-18","0000000004","2016-03-21","K4","2016003","","100000021","APJ","USD",44856.00,39872.00,4984.00,"","","C"
"0500000157","0000000026","2016-03-18","0000000026","2016-03-20","K4","2016003","","100000023","APJ","USD",119621.23,106330.00,13291.23,"","","C"
"0500000158","0000000022","2016-03-19","0000000022","2016-03-20","K4","2016003","","100000035","EMEA","USD",106637.60,94789.00,11848.60,"","","X"
"0500000159","0000000018","2016-03-20","0000000018","2016-03-22","K4","2016003","","100000027","EMEA","USD",59479.87,52871.00,6608.87,"","","C"
"0500000160","0000000006","2016-03-20","0000000006","2016-03-21","K4","2016003","","100000006","EMEA","USD",112694.62,100173.00,12521.62,"","","C"
"0500000161","0000000014","2016-03-21","0000000014","2016-03-23","K4","2016003","","100000030","AMER","USD",142210.11,126409.00,15801.11,"","","C"
"0500000162","0000000020","2016-03-22","0000000020","2016-03-23","K4","2016003","","100000035","EMEA","USD",112874.62,100333.00,12541.62,"","","C"
"0500000163","0000000017","2016-03-23","0000000017","2016-03-25","K4","2016003","","100000027","EMEA","USD",52558.87,46719.00,5839.87,"","","C"
"0500000164","0000000003","2016-03-24","0000000003","2016-03-25","K4","2016003","","100000036","EMEA","USD",35550.00,31600.00,3950.00,"","","C"
"0500000165","0000000013","2016-03-24","0000000013","2016-03-26","K4","2016003","","100000004","AMER","USD",8763.75,7790.00,973.75,"","","C"
"0500000166","0000000027","2016-03-24","0000000027","2016-03-26","K4","2016003","","100000016","APJ","USD",91463.62,81301.00,10162.62,"","","C"
"0500000167","0000000019","2016-03-24","0000000019","2016-03-25","K4","2016003","","100000013","EMEA","USD",1800.00,1600.00,200.00,"","","C"
"0500000168","0000000018","2016-03-24","0000000018","2016-03-27","K4","2016003","","100000025","EMEA","USD",213663.36,189923.00,23740.36,"","","C"
"0500000169","0000000014","2016-03-25","0000000014","2016-03-27","K4","2016003","","100000003","AMER","USD",51060.37,45387.00,5673.37,"","","C"
"0500000170","0000000024","2016-03-25","0000000024","2016-03-26","K4","2016003","","100000020","APJ","USD",55559.24,49386.00,6173.24,"","","C"
"0500000171","0000000023","2016-03-25","0000000023","2016-03-28","K4","2016003","","100000026","EMEA","USD",44853.74,39870.00,4983.74,"","","C"
"0500000172","0000000023","2016-03-25","0000000023","2016-03-28","K4","2016003","","100000012","EMEA","USD",55372.50,49220.00,6152.50,"","","C"
"0500000173","0000000015","2016-03-25","0000000015","2016-03-27","K4","2016003","","100000008","EMEA","USD",23879.24,21226.00,2653.24,"","","C"
"0500000174","0000000017","2016-03-25","0000000017","2016-03-26","K4","2016003","","100000014","EMEA","USD",207514.11,184457.00,23057.11,"","","C"
"0500000175","0000000025","2016-03-26","0000000025","2016-03-27","K4","2016003","","100000021","APJ","USD",37773.00,33576.00,4197.00,"","","C"
"0500000176","0000000022","2016-03-26","0000000022","2016-03-27","K4","2016003","","100000010","EMEA","USD",161025.74,143134.00,17891.74,"","","C"
"0500000177","0000000013","2016-03-27","0000000013","2016-03-30","K4","2016003","","100000033","AMER","USD",131917.49,117260.00,14657.49,"","","C"
"0500000178","0000000027","2016-03-28","0000000027","2016-03-30","K4","2016003","","100000017","APJ","USD",155661.74,138366.00,17295.74,"","","C"
"0500000179","0000000010","2016-03-28","0000000010","2016-03-30","K4","2016003","","100000032","AMER","USD",34237.11,30433.00,3804.11,"","","C"
"0500000180","0000000021","2016-03-28","0000000021","2016-03-31","K4","2016003","","100000008","EMEA","USD",174619.10,155217.00,19402.10,"","","C"
"0500000181","0000000026","2016-03-29","0000000026","2016-03-30","K4","2016003","","100000018","APJ","USD",4488.75,3990.00,498.75,"","","C"
"0500000182","0000000003","2016-03-30","0000000003","2016-04-01","K4","2016003","","100000012","EMEA","USD",99925.86,88823.00,11102.86,"","","C"
"0500000183","0000000003","2016-03-31","0000000003","2016-04-03","K4","2016003","","100000014","EMEA","USD",18330.74,16294.00,2036.74,"","","C"
"0500000184","0000000024","2016-03-31","0000000024","2016-04-01","K4","2016003","","100000015","APJ","USD",74145.36,65907.00,8238.36,"","","C"
"0500000185","0000000011","2016-04-01","0000000011","2016-04-03","K4","2016004","","100000030","AMER","USD",65303.99,58048.00,7255.99,"","","C"
"0500000186","0000000013","2016-04-02","0000000013","2016-04-04","K4","2016004","","100000004","AMER","USD",54000.00,48000.00,6000.00,"","","C"
"0500000187","0000000006","2016-04-02","0000000006","2016-04-03","K4","2016004","","100000012","EMEA","USD",18550.12,16489.00,2061.12,"","","C"
"0500000188","0000000014","2016-04-03","0000000014","2016-04-04","K4","2016004","","100000002","AMER","USD",172361.24,153210.00,19151.24,"","","C"
"0500000189","0000000018","2016-04-04","0000000018","2016-04-06","K4","2016004","","100000012","EMEA","USD",72918.00,64816.00,8102.00,"","","C"
"0500000190","0000000027","2016-04-05","0000000027","2016-04-06","K4","2016004","","100000022","APJ","USD",136144.12,121017.00,15127.12,"","","C"
"0500000191","0000000009","2016-04-05","0000000009","2016-04-06","K4","2016004","","100000030","AMER","USD",68974.86,61311.00,7663.86,"","","C"
"0500000192","0000000004","2016-04-05","0000000004","2016-04-08","K4","2016004","","100000019","APJ","USD",8981.99,7984.00,997.99,"","","C"
"0500000193","0000000017","2016-04-06","0000000017","2016-04-07","K4","2016004","","100000029","EMEA","USD",119917.12,106593.00,13324.12,"","","C"
"0500000194","0000000023","2016-04-07","0000000023","2016-04-08","K4","2016004","","100000005","EMEA","USD",73666.12,65481.00,8185.12,"","","C"
