"SALESORDERID","SALESORDERITEM","PRODUCTID","NOTEID","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","IETMATPSTATUS","OPITEMPOS","QUANTITY","QUANTITYUNIT","EXPECTEDDELIVERYDATE"
"0500000012","0000000020","CC-1022","","USD",8100.00,7200.00,900.00,"I","",6,"EA","2016-02-13"
"0500000013","0000000010","HB-1173","","USD",7301.25,6490.00,811.25,"I","",10,"EA","2016-02-10"
"0500000013","0000000030","EB-1132","","USD",10687.50,9500.00,1187.50,"I","",5,"EA","2016-02-10"
"0500000013","0000000020","MB-1034","","USD",16868.25,14994.00,1874.25,"I","",6,"EA","2016-02-10"
"0500000013","0000000050","EB-1137","","USD",35550.00,31600.00,3950.00,"I","",4,"EA","2016-02-10"
"0500000013","0000000040","EB-1134","","USD",48600.00,43200.00,5400.00,"I","",9,"EA","2016-02-10"
"0500000014","0000000010","CC-1021","","USD",12870.00,11440.00,1430.00,"I","",10,"EA","2016-02-15"
"0500000014","0000000020","HB-1173","","USD",1460.25,1298.00,162.25,"I","",2,"EA","2016-02-15"
"0500000014","0000000060","MB-1032","","USD",5845.50,5196.00,649.50,"I","",4,"EA","2016-02-15"
"0500000014","0000000050","MB-1031","","USD",2920.50,2596.00,324.50,"I","",4,"EA","2016-02-15"
"0500000014","0000000030","HB-1172","","USD",10786.50,9588.00,1198.50,"I","",12,"EA","2016-02-15"
"0500000014","0000000040","DB-1081","","USD",10118.25,8994.00,1124.25,"I","",6,"EA","2016-02-15"
"0500000015","0000000010","DB-1083","","USD",9442.12,8393.00,1049.12,"I","",7,"EA","2016-02-16"
"0500000015","0000000080","MB-1032","","USD",17536.50,15588.00,1948.50,"I","",12,"EA","2016-02-16"
"0500000015","0000000070","HB-1172","","USD",8089.87,7191.00,898.87,"I","",9,"EA","2016-02-16"
"0500000015","0000000020","CB-1161","","USD",897.75,798.00,99.75,"I","",2,"EA","2016-02-16"
"0500000015","0000000040","RC-1056","","USD",2811.37,2499.00,312.37,"I","",1,"EA","2016-02-16"
"0500000015","0000000050","HB-1171","","USD",4718.25,4194.00,524.25,"I","",6,"EA","2016-02-16"
"0500000015","0000000030","BX-1012","","USD",4039.87,3591.00,448.87,"I","",9,"EA","2016-02-16"
"0500000015","0000000060","BX-1015","","USD",1681.87,1495.00,186.87,"I","",5,"EA","2016-02-16"
"0500000016","0000000010","RC-1055","","USD",4497.75,3998.00,499.75,"I","",2,"EA","2016-02-23"
"0500000017","0000000010","RC-1057","","USD",44991.00,39992.00,4999.00,"I","",8,"EA","2016-02-17"
"0500000018","0000000010","EB-1131","","USD",3375.00,3000.00,375.00,"I","",2,"EA","2016-02-18"
"0500000018","0000000080","CB-1162","","USD",5400.00,4800.00,600.00,"I","",12,"EA","2016-02-18"
"0500000018","0000000040","HB-1173","","USD",4380.75,3894.00,486.75,"I","",6,"EA","2016-02-18"
"0500000018","0000000030","MB-1031","","USD",7301.25,6490.00,811.25,"I","",10,"EA","2016-02-18"
"0500000018","0000000070","RC-1051","","USD",19679.62,17493.00,2186.62,"I","",7,"EA","2016-02-18"
"0500000018","0000000060","EB-1133","","USD",17718.75,15750.00,1968.75,"I","",7,"EA","2016-02-18"
"0500000018","0000000050","CC-1023","","USD",9186.75,8166.00,1020.75,"I","",6,"EA","2016-02-18"
"0500000018","0000000020","BX-1016","","USD",2871.00,2552.00,319.00,"I","",8,"EA","2016-02-18"
"0500000019","0000000010","CB-1161","","USD",1795.50,1596.00,199.50,"I","",4,"EA","2016-02-13"
"0500000020","0000000010","CB-1162","","USD",1350.00,1200.00,150.00,"I","",3,"EA","2016-02-20"
"0500000020","0000000040","MB-1032","","USD",4384.12,3897.00,487.12,"I","",3,"EA","2016-02-20"
"0500000020","0000000050","EB-1133","","USD",10125.00,9000.00,1125.00,"I","",4,"EA","2016-02-20"
"0500000020","0000000020","RO-1002","","USD",1550.25,1378.00,172.25,"I","",2,"EA","2016-02-20"
"0500000020","0000000030","RC-1052","","USD",40489.87,35991.00,4498.87,"I","",9,"EA","2016-02-20"
"0500000021","0000000010","CB-1162","","USD",4950.00,4400.00,550.00,"I","",11,"EA","2016-02-24"
"0500000021","0000000030","EB-1132","","USD",21375.00,19000.00,2375.00,"I","",10,"EA","2016-02-24"
"0500000021","0000000060","HB-1173","","USD",4380.75,3894.00,486.75,"I","",6,"EA","2016-02-24"
"0500000021","0000000040","BX-1011","","USD",1400.62,1245.00,155.62,"I","",5,"EA","2016-02-24"
"0500000021","0000000050","RC-1056","","USD",28113.75,24990.00,3123.75,"I","",10,"EA","2016-02-24"
"0500000021","0000000020","DB-1081","","USD",15177.37,13491.00,1686.37,"I","",9,"EA","2016-02-24"
"0500000022","0000000010","EB-1137","","USD",35550.00,31600.00,3950.00,"I","",4,"EA","2016-02-11"
"0500000023","0000000010","EB-1137","","USD",88875.00,79000.00,9875.00,"I","",10,"EA","2016-02-17"
"0500000023","0000000020","CB-1163","","USD",1944.00,1728.00,216.00,"I","",6,"EA","2016-02-17"
"0500000024","0000000010","RO-1002","","USD",7751.25,6890.00,861.25,"I","",10,"EA","2016-02-25"
"0500000024","0000000070","BX-1013","","USD",2020.50,1796.00,224.50,"I","",4,"EA","2016-02-25"
"0500000024","0000000040","CB-1162","","USD",1800.00,1600.00,200.00,"I","",4,"EA","2016-02-25"
"0500000024","0000000100","MB-1031","","USD",3650.62,3245.00,405.62,"I","",5,"EA","2016-02-25"
"0500000024","0000000080","EB-1133","","USD",12656.25,11250.00,1406.25,"I","",5,"EA","2016-02-25"
"0500000024","0000000030","CC-1023","","USD",15311.25,13610.00,1701.25,"I","",10,"EA","2016-02-25"
"0500000024","0000000050","RC-1054","","USD",30931.87,27495.00,3436.87,"I","",5,"EA","2016-02-25"
"0500000024","0000000020","CC-1022","","USD",4050.00,3600.00,450.00,"I","",3,"EA","2016-02-25"
"0500000024","0000000090","BX-1011","","USD",560.25,498.00,62.25,"I","",2,"EA","2016-02-25"
"0500000024","0000000060","RC-1052","","USD",40489.87,35991.00,4498.87,"I","",9,"EA","2016-02-25"
"0500000025","0000000010","RC-1053","","USD",41391.00,36792.00,4599.00,"I","",8,"EA","2016-02-25"
"0500000025","0000000040","MB-1031","","USD",2190.37,1947.00,243.37,"I","",3,"EA","2016-02-25"
"0500000025","0000000020","EB-1134","","USD",21600.00,19200.00,2400.00,"I","",4,"EA","2016-02-25"
"0500000025","0000000030","RC-1052","","USD",35991.00,31992.00,3999.00,"I","",8,"EA","2016-02-25"
"0500000026","0000000010","BX-1015","","USD",3363.75,2990.00,373.75,"I","",10,"EA","2016-02-18"
"0500000026","0000000030","MB-1034","","USD",16868.25,14994.00,1874.25,"I","",6,"EA","2016-02-18"
"0500000026","0000000020","BX-1012","","USD",448.87,399.00,49.87,"I","",1,"EA","2016-02-18"
"0500000026","0000000040","RC-1055","","USD",8995.50,7996.00,999.50,"I","",4,"EA","2016-02-18"
"0500000027","0000000010","EB-1134","","USD",48600.00,43200.00,5400.00,"I","",9,"EA","2016-02-29"
"0500000028","0000000010","RC-1051","","USD",11245.50,9996.00,1249.50,"I","",4,"EA","2016-02-27"
"0500000028","0000000060","EB-1132","","USD",25650.00,22800.00,2850.00,"I","",12,"EA","2016-02-27"
"0500000028","0000000070","CB-1162","","USD",3150.00,2800.00,350.00,"I","",7,"EA","2016-02-27"
"0500000028","0000000030","MB-1034","","USD",19679.62,17493.00,2186.62,"I","",7,"EA","2016-02-27"
"0500000028","0000000040","CB-1161","","USD",3591.00,3192.00,399.00,"I","",8,"EA","2016-02-27"
"0500000028","0000000020","EB-1136","","USD",33750.00,30000.00,3750.00,"I","",6,"EA","2016-02-27"
"0500000028","0000000050","DB-1081","","USD",13491.00,11992.00,1499.00,"I","",8,"EA","2016-02-27"
"0500000029","0000000010","BX-1016","","USD",358.87,319.00,39.87,"I","",1,"EA","2016-02-19"
"0500000029","0000000030","HB-1173","","USD",3650.62,3245.00,405.62,"I","",5,"EA","2016-02-19"
"0500000029","0000000020","MB-1032","","USD",14613.75,12990.00,1623.75,"I","",10,"EA","2016-02-19"
"0500000029","0000000080","HB-1175","","USD",7079.62,6293.00,786.62,"I","",7,"EA","2016-02-19"
"0500000029","0000000060","RO-1002","","USD",3875.62,3445.00,430.62,"I","",5,"EA","2016-02-19"
"0500000029","0000000070","CB-1161","","USD",1346.62,1197.00,149.62,"I","",3,"EA","2016-02-19"
"0500000029","0000000050","BX-1011","","USD",280.12,249.00,31.12,"I","",1,"EA","2016-02-19"
"0500000029","0000000040","RO-1001","","USD",5906.25,5250.00,656.25,"I","",10,"EA","2016-02-19"
"0500000029","0000000090","DB-1082","","USD",11250.00,10000.00,1250.00,"I","",8,"EA","2016-02-19"
"0500000030","0000000010","MB-1032","","USD",13152.37,11691.00,1461.37,"I","",9,"EA","2016-02-16"
"0500000030","0000000090","EB-1132","","USD",10687.50,9500.00,1187.50,"I","",5,"EA","2016-02-16"
"0500000030","0000000060","RC-1051","","USD",22491.00,19992.00,2499.00,"I","",8,"EA","2016-02-16"
"0500000030","0000000030","EB-1137","","USD",97762.50,86900.00,10862.50,"I","",11,"EA","2016-02-16"
"0500000030","0000000070","CB-1161","","USD",2693.25,2394.00,299.25,"I","",6,"EA","2016-02-16"
"0500000030","0000000020","RO-1001","","USD",4134.37,3675.00,459.37,"I","",7,"EA","2016-02-16"
"0500000030","0000000080","EB-1134","","USD",21600.00,19200.00,2400.00,"I","",4,"EA","2016-02-16"
"0500000030","0000000040","HB-1174","","USD",4690.12,4169.00,521.12,"I","",11,"EA","2016-02-16"
"0500000030","0000000050","RC-1055","","USD",20239.87,17991.00,2248.87,"I","",9,"EA","2016-02-16"
"0500000031","0000000010","MB-1032","","USD",7306.87,6495.00,811.87,"I","",5,"EA","2016-02-26"
"0500000031","0000000030","EB-1132","","USD",4275.00,3800.00,475.00,"I","",2,"EA","2016-02-26"
"0500000031","0000000040","CB-1162","","USD",5400.00,4800.00,600.00,"I","",12,"EA","2016-02-26"
"0500000031","0000000070","RC-1053","","USD",31043.25,27594.00,3449.25,"I","",6,"EA","2016-02-26"
"0500000031","0000000090","RO-1002","","USD",8526.37,7579.00,947.37,"I","",11,"EA","2016-02-26"
"0500000031","0000000050","EB-1131","","USD",13500.00,12000.00,1500.00,"I","",8,"EA","2016-02-26"
"0500000031","0000000020","BX-1016","","USD",4306.50,3828.00,478.50,"I","",12,"EA","2016-02-26"
"0500000031","0000000060","CC-1021","","USD",3861.00,3432.00,429.00,"I","",3,"EA","2016-02-26"
"0500000031","0000000080","DB-1081","","USD",18550.12,16489.00,2061.12,"I","",11,"EA","2016-02-26"
"0500000032","0000000010","RO-1002","","USD",4650.75,4134.00,516.75,"I","",6,"EA","2016-02-17"
"0500000033","0000000010","RO-1001","","USD",3543.75,3150.00,393.75,"I","",6,"EA","2016-03-03"
"0500000033","0000000020","RC-1051","","USD",30925.12,27489.00,3436.12,"I","",11,"EA","2016-03-03"
"0500000033","0000000030","RO-1002","","USD",3875.62,3445.00,430.62,"I","",5,"EA","2016-03-03"
"0500000033","0000000070","RC-1057","","USD",22495.50,19996.00,2499.50,"I","",4,"EA","2016-03-03"
"0500000033","0000000090","EB-1133","","USD",22781.25,20250.00,2531.25,"I","",9,"EA","2016-03-03"
"0500000033","0000000040","EB-1137","","USD",97762.50,86900.00,10862.50,"I","",11,"EA","2016-03-03"
"0500000033","0000000100","CC-1021","","USD",14157.00,12584.00,1573.00,"I","",11,"EA","2016-03-03"
"0500000033","0000000080","EB-1134","","USD",32400.00,28800.00,3600.00,"I","",6,"EA","2016-03-03"
"0500000033","0000000060","HB-1171","","USD",3931.87,3495.00,436.87,"I","",5,"EA","2016-03-03"
"0500000033","0000000050","EB-1135","","USD",20250.00,18000.00,2250.00,"I","",6,"EA","2016-03-03"
"0500000034","0000000010","CC-1021","","USD",15444.00,13728.00,1716.00,"I","",12,"EA","2016-02-20"
"0500000035","0000000010","BX-1011","","USD",1400.62,1245.00,155.62,"I","",5,"EA","2016-03-03"
"0500000035","0000000030","EB-1132","","USD",10687.50,9500.00,1187.50,"I","",5,"EA","2016-03-03"
"0500000035","0000000020","EB-1137","","USD",35550.00,31600.00,3950.00,"I","",4,"EA","2016-03-03"
"0500000035","0000000040","BX-1014","","USD",7191.00,6392.00,799.00,"I","",8,"EA","2016-03-03"
"0500000036","0000000010","RO-1001","","USD",5315.62,4725.00,590.62,"I","",9,"EA","2016-02-25"
"0500000036","0000000070","MB-1032","","USD",14613.75,12990.00,1623.75,"I","",10,"EA","2016-02-25"
"0500000036","0000000080","CB-1162","","USD",4500.00,4000.00,500.00,"I","",10,"EA","2016-02-25"
"0500000036","0000000060","CB-1163","","USD",324.00,288.00,36.00,"I","",1,"EA","2016-02-25"
"0500000036","0000000040","EB-1134","","USD",48600.00,43200.00,5400.00,"I","",9,"EA","2016-02-25"
"0500000036","0000000030","EB-1136","","USD",28125.00,25000.00,3125.00,"I","",5,"EA","2016-02-25"
"0500000036","0000000050","BX-1012","","USD",3142.12,2793.00,349.12,"I","",7,"EA","2016-02-25"
"0500000036","0000000020","RC-1055","","USD",17991.00,15992.00,1999.00,"I","",8,"EA","2016-02-25"
"0500000037","0000000010","RO-1003","","USD",7300.12,6489.00,811.12,"I","",9,"EA","2016-03-06"
"0500000037","0000000020","RO-1001","","USD",5315.62,4725.00,590.62,"I","",9,"EA","2016-03-06"
"0500000038","0000000010","CC-1023","","USD",3062.25,2722.00,340.25,"I","",2,"EA","2016-02-29"
"0500000038","0000000050","HB-1176","","USD",16186.50,14388.00,1798.50,"I","",12,"EA","2016-02-29"
"0500000038","0000000020","RC-1051","","USD",11245.50,9996.00,1249.50,"I","",4,"EA","2016-02-29"
"0500000038","0000000060","MB-1033","","USD",35991.00,31992.00,3999.00,"I","",8,"EA","2016-02-29"
"0500000038","0000000030","RO-1001","","USD",5906.25,5250.00,656.25,"I","",10,"EA","2016-02-29"
"0500000038","0000000070","EB-1134","","USD",43200.00,38400.00,4800.00,"I","",8,"EA","2016-02-29"
"0500000038","0000000040","DB-1082","","USD",5625.00,5000.00,625.00,"I","",4,"EA","2016-02-29"
"0500000039","0000000010","BX-1012","","USD",2693.25,2394.00,299.25,"I","",6,"EA","2016-03-07"
"0500000039","0000000020","EB-1132","","USD",4275.00,3800.00,475.00,"I","",2,"EA","2016-03-07"
"0500000039","0000000090","CB-1162","","USD",450.00,400.00,50.00,"I","",1,"EA","2016-03-07"
"0500000039","0000000080","MB-1034","","USD",14056.87,12495.00,1561.87,"I","",5,"EA","2016-03-07"
"0500000039","0000000100","RC-1054","","USD",43304.62,38493.00,4811.62,"I","",7,"EA","2016-03-07"
"0500000039","0000000070","RO-1002","","USD",9301.50,8268.00,1033.50,"I","",12,"EA","2016-03-07"
"0500000039","0000000060","CC-1022","","USD",14850.00,13200.00,1650.00,"I","",11,"EA","2016-03-07"
"0500000039","0000000050","BX-1011","","USD",1120.50,996.00,124.50,"I","",4,"EA","2016-03-07"
"0500000039","0000000040","RC-1052","","USD",44988.75,39990.00,4998.75,"I","",10,"EA","2016-03-07"
"0500000039","0000000030","DB-1081","","USD",20236.50,17988.00,2248.50,"I","",12,"EA","2016-03-07"
"0500000040","0000000010","EB-1131","","USD",11812.50,10500.00,1312.50,"I","",7,"EA","2016-03-03"
"0500000040","0000000020","DB-1082","","USD",16875.00,15000.00,1875.00,"I","",12,"EA","2016-03-03"
"0500000040","0000000040","HB-1176","","USD",8093.25,7194.00,899.25,"I","",6,"EA","2016-03-03"
"0500000040","0000000060","HB-1175","","USD",9102.37,8091.00,1011.37,"I","",9,"EA","2016-03-03"
"0500000040","0000000050","RC-1052","","USD",35991.00,31992.00,3999.00,"I","",8,"EA","2016-03-03"
"0500000040","0000000030","DB-1081","","USD",15177.37,13491.00,1686.37,"I","",9,"EA","2016-03-03"
"0500000041","0000000010","RO-1003","","USD",2433.37,2163.00,270.37,"I","",3,"EA","2016-03-03"
"0500000041","0000000020","BX-1013","","USD",5556.37,4939.00,617.37,"I","",11,"EA","2016-03-03"
"0500000041","0000000040","CB-1162","","USD",4950.00,4400.00,550.00,"I","",11,"EA","2016-03-03"
"0500000041","0000000030","RO-1002","","USD",2325.37,2067.00,258.37,"I","",3,"EA","2016-03-03"
"0500000042","0000000010","HB-1171","","USD",5504.62,4893.00,611.62,"I","",7,"EA","2016-03-04"
"0500000043","0000000010","EB-1135","","USD",23625.00,21000.00,2625.00,"I","",7,"EA","2016-02-22"
"0500000044","0000000010","CB-1161","","USD",4039.87,3591.00,448.87,"I","",9,"EA","2016-02-26"
"0500000044","0000000020","MB-1032","","USD",2922.75,2598.00,324.75,"I","",2,"EA","2016-02-26"
"0500000045","0000000010","BX-1011","","USD",3081.37,2739.00,342.37,"I","",11,"EA","2016-02-24"
"0500000045","0000000040","BX-1013","","USD",3030.75,2694.00,336.75,"I","",6,"EA","2016-02-24"
"0500000045","0000000020","HB-1173","","USD",7301.25,6490.00,811.25,"I","",10,"EA","2016-02-24"
"0500000045","0000000050","RO-1003","","USD",3244.50,2884.00,360.50,"I","",4,"EA","2016-02-24"
"0500000045","0000000030","CC-1021","","USD",15444.00,13728.00,1716.00,"I","",12,"EA","2016-02-24"
"0500000045","0000000070","RC-1056","","USD",16868.25,14994.00,1874.25,"I","",6,"EA","2016-02-24"
"0500000045","0000000060","DB-1081","","USD",10118.25,8994.00,1124.25,"I","",6,"EA","2016-02-24"
"0500000046","0000000010","HB-1175","","USD",5056.87,4495.00,561.87,"I","",5,"EA","2016-03-04"
"0500000046","0000000030","RC-1051","","USD",33736.50,29988.00,3748.50,"I","",12,"EA","2016-03-04"
"0500000046","0000000020","CB-1161","","USD",1346.62,1197.00,149.62,"I","",3,"EA","2016-03-04"
"0500000046","0000000040","RO-1003","","USD",5677.87,5047.00,630.87,"I","",7,"EA","2016-03-04"
"0500000046","0000000060","DB-1083","","USD",14837.62,13189.00,1648.62,"I","",11,"EA","2016-03-04"
"0500000046","0000000050","BX-1012","","USD",4039.87,3591.00,448.87,"I","",9,"EA","2016-03-04"
"0500000047","0000000010","EB-1132","","USD",10687.50,9500.00,1187.50,"I","",5,"EA","2016-03-08"
"0500000047","0000000020","CB-1163","","USD",324.00,288.00,36.00,"I","",1,"EA","2016-03-08"
"0500000047","0000000030","EB-1136","","USD",39375.00,35000.00,4375.00,"I","",7,"EA","2016-03-08"
"0500000047","0000000040","DB-1082","","USD",15468.75,13750.00,1718.75,"I","",11,"EA","2016-03-08"
"0500000047","0000000050","BX-1015","","USD",3363.75,2990.00,373.75,"I","",10,"EA","2016-03-08"
"0500000048","0000000010","BX-1012","","USD",4937.62,4389.00,548.62,"I","",11,"EA","2016-03-12"
"0500000048","0000000090","BX-1013","","USD",5051.25,4490.00,561.25,"I","",10,"EA","2016-03-12"
"0500000048","0000000070","HB-1172","","USD",8089.87,7191.00,898.87,"I","",9,"EA","2016-03-12"
"0500000048","0000000050","RC-1057","","USD",61862.62,54989.00,6873.62,"I","",11,"EA","2016-03-12"
"0500000048","0000000080","RC-1054","","USD",30931.87,27495.00,3436.87,"I","",5,"EA","2016-03-12"
"0500000048","0000000020","RO-1002","","USD",6201.00,5512.00,689.00,"I","",8,"EA","2016-03-12"
"0500000048","0000000100","MB-1033","","USD",26993.25,23994.00,2999.25,"I","",6,"EA","2016-03-12"
"0500000048","0000000040","BX-1016","","USD",1076.62,957.00,119.62,"I","",3,"EA","2016-03-12"
"0500000048","0000000060","CC-1021","","USD",5148.00,4576.00,572.00,"I","",4,"EA","2016-03-12"
"0500000048","0000000030","EB-1136","","USD",33750.00,30000.00,3750.00,"I","",6,"EA","2016-03-12"
"0500000049","0000000010","BX-1016","","USD",2871.00,2552.00,319.00,"I","",8,"EA","2016-02-29"
"0500000049","0000000020","MB-1032","","USD",2922.75,2598.00,324.75,"I","",2,"EA","2016-02-29"
"0500000049","0000000060","HB-1172","","USD",1797.75,1598.00,199.75,"I","",2,"EA","2016-02-29"
"0500000049","0000000040","RC-1057","","USD",16871.62,14997.00,1874.62,"I","",3,"EA","2016-02-29"
"0500000049","0000000070","CC-1023","","USD",16842.37,14971.00,1871.37,"I","",11,"EA","2016-02-29"
"0500000049","0000000030","RO-1003","","USD",8111.25,7210.00,901.25,"I","",10,"EA","2016-02-29"
"0500000049","0000000080","EB-1131","","USD",3375.00,3000.00,375.00,"I","",2,"EA","2016-02-29"
"0500000049","0000000090","DB-1081","","USD",20236.50,17988.00,2248.50,"I","",12,"EA","2016-02-29"
"0500000049","0000000050","RC-1055","","USD",15742.12,13993.00,1749.12,"I","",7,"EA","2016-02-29"
"0500000050","0000000010","RC-1052","","USD",17995.50,15996.00,1999.50,"I","",4,"EA","2016-03-04"
"0500000050","0000000030","BX-1013","","USD",3030.75,2694.00,336.75,"I","",6,"EA","2016-03-04"
"0500000050","0000000090","EB-1132","","USD",14962.50,13300.00,1662.50,"I","",7,"EA","2016-03-04"
"0500000050","0000000040","RC-1053","","USD",41391.00,36792.00,4599.00,"I","",8,"EA","2016-03-04"
"0500000050","0000000070","HB-1172","","USD",1797.75,1598.00,199.75,"I","",2,"EA","2016-03-04"
