"PIPELINEID","STATUS","PARTNERID","COMMIT","PROBABLE","UPSIDE","SALESORDER","EXPECTEDCLOSINGDATE","PRODUCTID","CREATEDBY","CREATEDAT"
"0400000022",3,"100000034",0,0,372100,,"2021-08-30","HB-1174","0000000023","2020-03-04"
"0400000023",4,"100000039",401440,555840,308800,,"2020-02-10","CC-1021","0000000020","2020-01-14"
"0400000024",2,"100000004",546550,546550,321500,,"2021-03-10","DB-1082","0000000017","2020-06-21"
"0400000025",4,"100000037",437070,0,257100,,"2020-08-10","BX-1013","0000000009","2019-12-20"
"0400000026",1,"100000024",0,691320,493800,,"2022-01-01","HB-1176","0000000026","2020-05-24"
"0400000027",3,"100000015",0,0,397700,,"2022-07-15","RC-1051","0000000023","2020-07-17"
"0400000028",1,"100000011",320040,411480,228600,,"2021-03-04","EB-1135","0000000018","2020-08-11"
"0400000029",3,"100000033",0,0,233300,,"2020-10-14","HB-1173","0000000027","2020-08-07"
"0400000030",4,"100000016",332960,0,416200,,"2020-05-11","RC-1052","0000000020","2020-01-02"
"0400000031",3,"100000005",279870,0,147300,,"2020-12-18","EB-1136","0000000014","2020-02-22"
"0400000032",1,"100000005",0,0,401800,,"2021-12-30","EB-1137","0000000024","2020-05-27"
"0400000033",3,"100000020",461100,399620,307400,,"2022-07-07","BX-1016","0000000025","2020-07-21"
"0400000034",1,"100000005",506560,316600,316600,,"2022-08-26","HB-1175","0000000022","2020-05-03"
"0400000035",2,"100000024",0,0,123800,,"2022-05-22","CB-1161","0000000014","2020-07-05"
"0400000036",1,"100000018",0,367320,306100,,"2021-06-06","BX-1016","0000000013","2020-05-30"
"0400000037",5,"100000005",396440,0,360400,,"2020-07-17","DB-1083","0000000004","2020-06-13"
"0400000038",1,"100000018",0,468159,334400,,"2021-04-06","RO-1002","0000000018","2020-08-02"
"0400000039",2,"100000017",710100,512850,394500,,"2021-08-10","BX-1016","0000000004","2020-06-02"
"0400000040",1,"100000002",376960,376960,471200,,"2021-06-20","HB-1171","0000000013","2020-05-12"
"0400000041",5,"100000025",258000,0,258000,,"2020-06-06","MB-1034","0000000022","2019-11-24"
"0400000042",2,"100000022",263040,394560,328800,,"2020-11-12","HB-1176","0000000003","2020-07-11"
"0400000043",3,"100000021",0,330750,367500,,"2021-07-20","BX-1011","0000000010","2020-07-15"
"0400000044",2,"100000032",304570,0,435100,,"2022-06-29","BX-1016","0000000010","2020-05-01"
"0400000045",1,"100000026",0,0,241900,,"2020-10-24","RC-1052","0000000022","2020-08-15"
"0400000046",4,"100000020",145420,118980,132200,,"2020-03-29","RO-1003","0000000007","2020-01-14"
"0400000047",3,"100000026",0,0,488000,,"2022-04-10","EB-1136","0000000010","2020-06-26"
"0400000048",2,"100000034",0,268840,206800,,"2022-06-22","BX-1016","0000000026","2020-09-05"
"0400000049",3,"100000039",0,200330,154100,,"2021-05-03","CB-1163","0000000022","2020-01-14"
"0400000050",2,"100000025",0,0,456700,,"2021-07-24","CB-1162","0000000016","2020-04-11"
"0400000051",2,"100000012",0,540150,360100,,"2021-09-12","HB-1174","0000000017","2020-06-24"
"0400000052",1,"100000026",0,0,113400,,"2021-07-30","EB-1137","0000000027","2020-05-07"
"0400000053",3,"100000039",0,346560,182400,,"2020-10-07","HB-1171","0000000022","2020-01-31"
"0400000054",2,"100000039",0,136900,136900,,"2021-06-04","EB-1136","0000000022","2020-07-26"
"0400000055",4,"100000015",780710,0,410900,,"2020-08-20","MB-1032","0000000012","2020-05-27"
"0400000056",3,"100000014",0,153650,219500,,"2022-06-28","CC-1022","0000000020","2020-05-15"
"0400000057",5,"100000021",138460,168130,98900,,"2020-03-27","BX-1011","0000000003","2019-11-24"
"0400000058",3,"100000015",78540,92820,71400,,"2020-09-28","RC-1051","0000000015","2020-04-28"
"0400000059",5,"100000016",134080,58659,83800,,"2020-02-12","RO-1003","0000000016","2019-06-25"
"0400000060",1,"100000034",268290,447150,298100,,"2021-08-11","HB-1174","0000000020","2020-07-04"
"0400000061",2,"100000000",307790,835430,439700,,"2022-08-24","CB-1162","0000000025","2020-07-31"
"0400000062",2,"100000003",292820,0,266200,,"2022-05-13","CC-1022","0000000010","2020-03-17"
"0400000063",3,"100000015",863360,772480,454400,,"2021-11-01","HB-1172","0000000006","2020-08-07"
"0400000064",1,"100000035",604500,322400,403000,,"2022-02-18","BX-1013","0000000026","2020-07-08"
"0400000065",4,"100000001",175760,0,135200,,"2020-03-22","HB-1175","0000000024","2019-10-22"
"0400000066",1,"100000010",0,0,253000,,"2021-02-22","CC-1023","0000000027","2020-06-08"
"0400000067",2,"100000031",378480,804270,473100,,"2022-01-01","RC-1055","0000000006","2020-03-10"
"0400000068",1,"100000014",0,0,131800,,"2021-04-18","EB-1131","0000000027","2020-05-04"
"0400000069",1,"100000016",0,0,114100,,"2022-06-05","DB-1083","0000000026","2020-05-17"
"0400000070",5,"100000002",566640,314800,314800,,"2020-01-18","EB-1137","0000000015","2019-11-10"
"0400000071",2,"100000024",468690,413550,275700,,"2020-11-11","RC-1054","0000000027","2020-03-06"
"0400000072",2,"100000003",109600,76720,109600,,"2022-03-11","EB-1132","0000000006","2020-08-04"
"0400000073",1,"100000032",404460,0,288900,,"2022-06-08","MB-1034","0000000015","2020-05-15"
"0400000074",3,"100000007",246330,0,144900,,"2021-12-06","EB-1136","0000000006","2020-02-07"
"0400000075",1,"100000039",0,260700,260700,,"2020-11-02","EB-1134","0000000020","2020-03-06"
"0400000076",2,"100000035",506850,0,337900,,"2021-01-11","EB-1136","0000000019","2020-03-09"
"0400000077",2,"100000032",437410,385950,257300,,"2022-08-20","BX-1016","0000000016","2020-03-15"
"0400000078",4,"100000036",829920,0,436800,,"2020-01-05","MB-1032","0000000006","2019-04-20"
"0400000079",3,"100000025",0,0,382900,,"2021-08-13","BX-1014","0000000016","2020-04-08"
"0400000080",1,"100000023",0,0,451100,,"2022-07-12","RC-1055","0000000018","2020-09-02"
"0400000081",3,"100000005",0,88900,127000,,"2021-07-03","RC-1057","0000000022","2020-01-15"
"0400000082",1,"100000017",0,0,342800,,"2022-05-20","BX-1015","0000000009","2020-02-22"
"0400000083",3,"100000022",0,160860,114900,,"2022-06-29","HB-1172","0000000018","2020-05-20"
"0400000084",3,"100000023",0,0,480500,,"2021-01-11","RC-1057","0000000003","2020-03-22"
"0400000085",5,"100000008",468710,0,426100,,"2020-07-10","BX-1011","0000000015","2019-12-11"
"0400000086",1,"100000007",0,216230,308900,,"2021-07-28","DB-1083","0000000019","2020-06-08"
"0400000087",1,"100000024",0,584870,449900,,"2020-10-22","HB-1176","0000000027","2020-03-03"
"0400000088",1,"100000014",181440,0,100800,,"2020-11-05","HB-1175","0000000014","2020-09-10"
"0400000089",2,"100000032",0,0,197100,,"2021-04-28","RC-1053","0000000023","2020-08-25"
"0400000090",2,"100000031",0,0,412900,,"2021-12-10","CC-1023","0000000019","2020-01-16"
"0400000091",2,"100000015",0,0,69600,,"2021-09-23","HB-1173","0000000011","2020-05-31"
"0400000092",5,"100000038",95920,107910,119900,,"2020-07-17","HB-1176","0000000014","2020-02-24"
"0400000093",1,"100000015",154660,0,140600,,"2021-09-05","DB-1082","0000000021","2020-05-03"
"0400000094",3,"100000022",0,0,243800,,"2021-10-18","BX-1012","0000000015","2020-03-23"
"0400000095",3,"100000024",128690,128690,75700,,"2021-06-05","BX-1013","0000000019","2019-12-30"
"0400000096",4,"100000032",460600,598780,460600,,"2020-03-21","EB-1131","0000000026","2019-12-28"
"0400000097",3,"100000020",0,290990,415700,,"2022-01-13","EB-1131","0000000027","2020-06-09"
"0400000098",2,"100000018",0,0,438000,,"2021-07-13","CB-1161","0000000022","2020-03-26"
"0400000099",3,"100000037",0,0,218300,,"2020-11-23","RC-1053","0000000011","2020-09-02"
"0400000100",3,"100000011",76080,0,95100,,"2022-08-13","RC-1057","0000000007","2020-05-08"
"0400000101",1,"100000018",0,314160,224400,,"2022-08-22","EB-1131","0000000004","2020-06-02"
"0400000102",2,"100000010",0,0,151300,,"2021-10-01","RC-1054","0000000022","2020-09-01"
"0400000103",4,"100000028",125970,0,66300,,"2020-07-30","MB-1033","0000000017","2020-07-11"
"0400000104",3,"100000005",842940,0,468300,,"2022-09-03","CC-1023","0000000014","2020-05-09"
"0400000105",3,"100000028",0,487630,443300,,"2022-07-14","EB-1132","0000000022","2020-01-23"
"0400000106",2,"100000011",0,0,130300,,"2021-05-17","BX-1012","0000000016","2020-01-02"
"0400000107",1,"100000007",0,0,331600,,"2020-10-08","BX-1012","0000000006","2020-07-23"
"0400000108",3,"100000012",133070,0,190100,,"2020-10-14","RC-1056","0000000004","2020-04-28"
"0400000109",2,"100000036",235290,0,213900,,"2021-11-18","RC-1052","0000000013","2020-03-06"
"0400000110",5,"100000033",588960,0,327200,,"2020-06-22","RC-1051","0000000003","2019-10-05"
"0400000111",3,"100000027",0,0,381000,,"2021-02-19","EB-1137","0000000017","2020-07-02"
"0400000112",5,"100000028",361280,0,225800,,"2020-09-10","RC-1053","0000000025","2020-04-14"
"0400000113",2,"100000013",486900,0,270500,,"2021-01-11","MB-1034","0000000018","2020-08-02"
"0400000114",1,"100000029",0,220900,220900,,"2020-11-27","RC-1057","0000000023","2020-07-05"
"0400000115",2,"100000028",0,538680,448900,,"2021-09-18","CC-1022","0000000026","2020-01-31"
"0400000116",4,"100000039",524810,565180,403700,,"2020-01-12","DB-1081","0000000014","2019-06-26"
"0400000117",3,"100000014",339040,402610,211900,,"2021-02-09","EB-1134","0000000021","2020-02-25"
"0400000118",4,"100000017",438130,756770,398300,,"2020-06-18","CB-1162","0000000016","2019-10-27"
"0400000119",3,"100000001",0,229160,134800,,"2022-03-14","EB-1137","0000000007","2020-02-12"
"0400000120",1,"100000014",215560,177520,126800,,"2021-09-22","RC-1052","0000000024","2020-04-09"
"0400000121",1,"100000035",740520,781660,411400,,"2020-12-30","RO-1003","0000000017","2020-08-28"
"0400000122",2,"100000007",0,357120,223200,,"2021-03-24","CB-1161","0000000026","2020-05-11"
"0400000123",1,"100000037",241900,0,241900,,"2021-03-19","CC-1022","0000000018","2020-07-28"
"0400000124",3,"100000007",0,0,215800,,"2020-11-13","RC-1056","0000000011","2020-03-08"
"0400000125",5,"100000020",395500,0,282500,,"2020-09-19","EB-1135","0000000020","2020-06-14"
"0400000126",1,"100000028",765900,680800,425500,,"2022-06-11","HB-1175","0000000016","2020-09-05"
"0400000127",2,"100000012",0,0,463500,,"2022-08-02","RO-1003","0000000016","2020-05-26"
"0400000128",2,"100000034",0,0,172300,,"2020-11-23","HB-1174","0000000026","2020-04-25"
"0400000129",4,"100000000",339930,0,377700,,"2020-01-21","BX-1011","0000000020","2019-08-18"
"0400000130",3,"100000014",108750,123250,72500,,"2020-11-04","RC-1051","0000000014","2020-04-01"
"0400000131",1,"100000012",483210,557550,371700,,"2021-02-27","BX-1014","0000000027","2020-08-18"
"0400000132",2,"100000030",351900,258060,234600,,"2022-07-19","HB-1173","0000000018","2020-09-02"
"0400000133",1,"100000025",179520,314160,224400,,"2021-04-02","DB-1082","0000000020","2020-04-29"
"0400000134",1,"100000021",0,186360,155300,,"2022-04-10","RO-1003","0000000024","2020-06-19"
"0400000135",1,"100000034",0,0,231000,,"2020-11-20","DB-1081","0000000003","2020-08-04"
"0400000136",3,"100000024",387420,246539,352200,,"2020-11-30","RC-1053","0000000017","2020-01-23"
"0400000137",3,"100000025",0,393440,491800,,"2022-05-16","BX-1015","0000000012","2020-01-20"
"0400000138",3,"100000007",0,0,231300,,"2021-03-09","CC-1021","0000000004","2020-01-21"
"0400000139",1,"100000038",0,0,185500,,"2022-07-27","HB-1175","0000000022","2020-08-12"
"0400000140",2,"100000012",0,0,297700,,"2021-02-14","RC-1051","0000000018","2020-02-20"
"0400000141",1,"100000022",0,0,301900,,"2021-01-09","MB-1031","0000000027","2020-02-24"
"0400000142",3,"100000024",0,0,295700,,"2021-10-25","RO-1003","0000000018","2020-05-08"
"0400000143",2,"100000033",240379,274720,343400,,"2021-03-03","HB-1173","0000000026","2020-06-08"
"0400000144",2,"100000023",0,0,179300,,"2021-06-03","DB-1082","0000000021","2020-06-23"
"0400000145",5,"100000020",609000,0,406000,,"2020-08-18","BX-1013","0000000020","2020-01-29"
"0400000146",3,"100000003",0,561540,401100,,"2021-12-18","EB-1132","0000000018","2020-02-11"
"0400000147",4,"100000031",169680,197960,141400,,"2020-05-20","DB-1082","0000000021","2019-10-07"
"0400000148",4,"100000009",745920,580160,414400,,"2020-06-05","MB-1032","0000000016","2019-12-05"
"0400000149",4,"100000010",620100,0,477000,,"2020-05-27","MB-1032","0000000009","2020-03-20"
"0400000150",5,"100000010",324000,125999,180000,,"2020-01-14","MB-1034","0000000027","2019-08-30"
"0400000151",1,"100000003",0,0,205600,,"2022-06-06","BX-1013","0000000015","2020-06-08"
"0400000152",2,"100000018",0,0,432200,,"2021-09-30","BX-1013","0000000012","2020-01-09"
"0400000153",2,"100000039",0,480960,300600,,"2020-10-05","EB-1136","0000000021","2020-01-21"
"0400000154",2,"100000011",125840,0,157300,,"2021-01-19","DB-1083","0000000019","2020-08-28"
"0400000155",2,"100000025",0,552580,394700,,"2022-09-10","RO-1003","0000000007","2020-02-27"
"0400000156",2,"100000034",0,684760,402800,,"2021-07-03","EB-1133","0000000026","2020-03-03"
"0400000157",3,"100000038",308980,242770,220700,,"2020-09-25","RO-1003","0000000022","2020-07-13"
"0400000158",2,"100000001",153890,0,139900,,"2022-08-31","EB-1132","0000000021","2020-01-29"
"0400000159",2,"100000015",267540,726180,382200,,"2021-12-15","RC-1051","0000000013","2020-05-31"
"0400000160",5,"100000010",526890,445830,405300,,"2020-03-16","CC-1023","0000000015","2019-08-15"
"0400000161",2,"100000010",0,0,295600,,"2022-07-15","HB-1172","0000000011","2020-05-10"
"0400000162",1,"100000005",0,0,152300,,"2022-07-26","RO-1001","0000000018","2020-04-12"
"0400000163",5,"100000000",288210,0,221700,,"2020-09-04","EB-1136","0000000015","2019-12-15"
"0400000164",2,"100000026",0,0,284200,,"2022-08-13","RC-1057","0000000013","2020-04-30"
"0400000165",5,"100000020",193900,0,193900,,"2020-05-23","RC-1056","0000000011","2020-05-04"
"0400000166",5,"100000015",531900,472800,295500,,"2020-07-23","BX-1011","0000000016","2020-01-09"
"0400000167",3,"100000026",596280,0,496900,,"2020-11-29","BX-1011","0000000027","2020-04-23"
"0400000168",3,"100000002",0,0,287800,,"2020-11-23","CC-1022","0000000015","2020-08-18"
"0400000169",4,"100000037",309700,130400,163000,,"2020-02-16","BX-1011","0000000020","2019-05-28"
"0400000170",2,"100000016",271040,0,387200,,"2021-05-05","CB-1161","0000000011","2020-08-12"
"0400000171",2,"100000024",122289,0,174700,,"2020-09-25","BX-1011","0000000010","2020-02-15"
"0400000172",2,"100000007",0,749400,499600,,"2021-01-22","MB-1032","0000000010","2020-07-03"
"0400000173",1,"100000012",631080,666140,350600,,"2021-05-09","EB-1133","0000000004","2020-05-01"
"0400000174",5,"100000028",117360,0,146700,,"2020-01-22","CC-1022","0000000018","2019-07-28"
"0400000175",2,"100000017",0,116880,146100,,"2021-08-14","RC-1057","0000000011","2020-04-02"
"0400000176",1,"100000024",0,0,125600,,"2021-06-29","MB-1034","0000000013","2020-03-26"
"0400000177",3,"100000002",0,180600,129000,,"2020-12-21","BX-1015","0000000003","2020-03-31"
"0400000178",3,"100000011",0,501330,294900,,"2022-01-25","HB-1176","0000000020","2020-04-20"
"0400000179",2,"100000007",0,0,377400,,"2022-06-18","CC-1023","0000000027","2020-03-21"
"0400000180",5,"100000009",737010,0,387900,,"2020-09-03","HB-1172","0000000022","2020-06-02"
"0400000181",3,"100000028",0,0,424100,,"2021-08-03","MB-1031","0000000016","2020-02-08"
"0400000182",5,"100000028",235950,0,157300,,"2020-04-06","MB-1033","0000000018","2019-08-14"
"0400000183",1,"100000035",0,394740,438600,,"2021-07-04","EB-1134","0000000010","2020-02-10"
"0400000184",3,"100000022",0,515640,429700,,"2020-11-04","MB-1034","0000000026","2020-08-09"
"0400000185",5,"100000028",491819,0,351300,,"2020-04-09","EB-1133","0000000025","2019-11-04"
"0400000186",3,"100000014",0,428960,268100,,"2021-12-07","EB-1136","0000000021","2020-03-22"
"0400000187",1,"100000023",0,617760,386100,,"2022-06-09","RC-1057","0000000021","2020-06-04"
"0400000188",1,"100000012",0,439920,488800,,"2022-03-13","CB-1161","0000000017","2020-04-04"
"0400000189",3,"100000001",0,0,222000,,"2022-08-02","RC-1054","0000000020","2020-03-25"
"0400000190",2,"100000001",229600,160720,229600,,"2022-02-22","CB-1163","0000000017","2020-01-31"
"0400000191",3,"100000039",0,142800,204000,,"2022-01-24","RC-1055","0000000026","2020-07-17"
"0400000192",3,"100000022",0,0,448000,,"2022-07-02","HB-1171","0000000019","2020-03-13"
"0400000193",1,"100000030",0,0,83900,,"2022-04-09","BX-1014","0000000021","2020-01-12"
"0400000194",3,"100000022",88960,88960,111200,,"2022-05-03","BX-1011","0000000016","2020-07-30"
"0400000195",4,"100000037",265400,504260,265400,,"2020-05-16","CB-1162","0000000020","2020-04-01"
"0400000196",1,"100000038",0,527840,329900,,"2021-10-23","RC-1054","0000000011","2020-07-20"
"0400000197",3,"100000029",403410,355950,237300,,"2021-09-06","CB-1161","0000000024","2020-06-25"
"0400000198",3,"100000006",233760,272720,194800,,"2022-09-07","RC-1055","0000000006","2020-07-23"
"0400000199",1,"100000004",278960,244089,348700,,"2021-07-22","CC-1023","0000000021","2020-01-15"
"0400000200",3,"100000021",0,478560,398800,,"2022-03-03","EB-1136","0000000013","2020-01-24"
"0400000201",3,"100000012",0,136960,85600,,"2022-07-09","RC-1055","0000000021","2020-05-21"
"0400000202",2,"100000017",0,0,264400,,"2022-06-02","MB-1031","0000000015","2020-03-12"
"0400000203",1,"100000032",0,591600,394400,,"2022-08-14","RC-1053","0000000019","2020-01-07"
"0400000204",3,"100000010",0,0,349000,,"2022-03-14","MB-1032","0000000014","2020-02-26"
"0400000205",4,"100000008",337300,0,337300,,"2020-06-06","BX-1016","0000000026","2019-12-27"
"0400000206",1,"100000024",0,435200,272000,,"2021-08-13","RC-1051","0000000014","2020-07-04"
"0400000207",5,"100000009",318100,222670,318100,,"2020-02-26","CC-1021","0000000015","2019-09-21"
"0400000208",2,"100000037",0,0,252400,,"2022-03-08","EB-1136","0000000019","2020-01-11"
"0400000209",3,"100000004",0,415140,377400,,"2022-06-12","RO-1002","0000000007","2020-08-27"
"0400000210",2,"100000028",0,0,136000,,"2021-07-25","EB-1136","0000000023","2020-03-02"
"0400000211",3,"100000013",0,247500,275000,,"2021-05-08","CB-1163","0000000014","2020-06-16"
"0400000212",3,"100000004",70290,115020,63900,,"2022-05-22","EB-1131","0000000027","2020-03-12"
"0400000213",2,"100000028",0,367880,216400,,"2022-08-27","DB-1082","0000000022","2020-07-01"
"0400000214",5,"100000007",380120,350880,292400,,"2020-01-14","BX-1011","0000000021","2019-04-25"
"0400000215",1,"100000009",0,0,99000,,"2022-03-13","HB-1175","0000000024","2020-03-11"
"0400000216",3,"100000001",132360,176480,110300,,"2021-08-02","MB-1031","0000000025","2020-02-03"
"0400000217",3,"100000030",0,0,79400,,"2020-12-24","HB-1172","0000000014","2019-12-26"
"0400000218",2,"100000022",0,236249,337500,,"2020-11-10","RC-1051","0000000017","2020-04-01"
"0400000219",1,"100000036",0,0,78500,,"2021-09-19","EB-1132","0000000017","2020-03-23"
"0400000220",5,"100000015",118820,0,91400,,"2020-03-13","HB-1173","0000000018","2020-02-27"
"0400000221",4,"100000029",449900,0,409000,,"2020-07-05","EB-1137","0000000010","2019-12-29"
"0400000222",1,"100000006",774520,0,455600,,"2020-12-15","DB-1083","0000000003","2020-09-01"
"0400000223",3,"100000030",0,0,376000,,"2021-11-02","CC-1022","0000000012","2020-07-17"
"0400000224",3,"100000035",0,0,195300,,"2021-09-01","MB-1031","0000000018","2020-01-06"
"0400000225",4,"100000016",479520,0,266400,,"2020-06-19","MB-1032","0000000003","2019-12-21"
"0400000226",1,"100000025",0,499100,499100,,"2021-08-09","EB-1136","0000000004","2020-07-17"
"0400000227",3,"100000018",0,0,222000,,"2021-08-22","BX-1012","0000000012","2020-05-03"
"0400000228",1,"100000031",0,0,351600,,"2022-02-14","HB-1173","0000000004","2020-02-25"
"0400000229",1,"100000008",0,215410,165700,,"2021-08-18","HB-1176","0000000012","2020-02-23"
"0400000230",3,"100000033",0,405990,312300,,"2021-07-06","BX-1014","0000000020","2020-03-26"
"0400000231",5,"100000034",155430,0,141300,,"2020-06-23","RC-1054","0000000025","2020-04-28"
"0400000232",1,"100000036",362400,0,302000,,"2022-01-28","RC-1054","0000000020","2020-08-20"
"0400000233",2,"100000021",0,0,485400,,"2020-12-08","RC-1057","0000000004","2020-02-12"
"0400000234",3,"100000031",0,205940,294200,,"2021-10-02","DB-1083","0000000024","2020-01-18"
"0400000235",1,"100000008",0,248500,248500,,"2021-11-01","MB-1034","0000000014","2020-05-13"
"0400000236",3,"100000031",0,0,335600,,"2021-01-03","EB-1137","0000000003","2020-02-12"
"0400000237",3,"100000033",0,502690,295700,,"2020-12-28","CC-1021","0000000016","2020-08-22"
"0400000238",1,"100000003",720860,0,379400,,"2021-08-23","CC-1021","0000000006","2020-08-06"
"0400000239",3,"100000014",0,0,256300,,"2022-04-27","CC-1021","0000000006","2020-02-27"
"0400000240",3,"100000015",0,0,380200,,"2022-06-09","HB-1172","0000000015","2020-02-07"
"0400000241",1,"100000026",354730,0,186700,,"2022-02-07","RC-1055","0000000018","2020-04-03"
"0400000242",1,"100000008",287730,415610,319700,,"2020-10-16","CC-1023","0000000003","2020-08-28"
"0400000243",2,"100000012",0,0,150300,,"2021-09-04","BX-1016","0000000018","2020-08-09"
"0400000244",4,"100000038",135000,72000,90000,,"2020-02-14","RC-1057","0000000013","2019-12-31"
"0400000245",1,"100000014",0,327600,327600,,"2021-03-24","CC-1021","0000000009","2020-02-22"
"0400000246",3,"100000006",0,0,230000,,"2022-04-27","BX-1011","0000000003","2020-03-08"
"0400000247",2,"100000018",0,429590,252700,,"2021-12-24","RO-1002","0000000013","2020-04-29"
"0400000248",2,"100000013",0,183820,262600,,"2022-08-06","CB-1163","0000000019","2020-04-17"
"0400000249",2,"100000035",321000,294250,267500,,"2021-05-03","DB-1082","0000000024","2020-04-20"
"0400000250",2,"100000007",97200,97200,81000,,"2020-11-27","MB-1032","0000000009","2020-06-06"
"0400000251",3,"100000019",648000,526500,405000,,"2021-06-04","HB-1171","0000000013","2020-06-27"
"0400000252",4,"100000008",473720,0,364400,,"2020-05-20","CB-1162","0000000009","2020-03-09"
"0400000253",4,"100000025",338910,208560,260700,,"2020-04-04","MB-1031","0000000021","2019-07-11"
"0400000254",5,"100000001",235520,132480,147200,,"2020-06-30","DB-1083","0000000004","2020-06-13"
"0400000255",2,"100000005",298680,0,157200,,"2022-07-03","BX-1012","0000000023","2020-01-18"
"0400000256",3,"100000007",0,0,435500,,"2021-06-13","CB-1161","0000000014","2020-04-29"
"0400000257",3,"100000034",169540,169540,121100,,"2022-06-12","HB-1175","0000000012","2020-09-06"
"0400000258",5,"100000019",408330,0,314100,,"2020-07-17","EB-1131","0000000014","2020-04-14"
"0400000259",5,"100000004",202020,0,155400,,"2020-02-02","EB-1133","0000000026","2019-12-12"
"0400000260",1,"100000024",0,0,419300,,"2021-07-14","RC-1054","0000000026","2020-05-23"
"0400000261",5,"100000004",255569,657180,365100,,"2020-03-23","RC-1055","0000000012","2019-08-14"
"0400000262",2,"100000033",0,152700,152700,,"2022-08-16","EB-1136","0000000013","2020-02-02"
"0400000263",1,"100000015",269640,0,224700,,"2022-08-13","EB-1131","0000000025","2020-05-15"
"0400000264",1,"100000029",424440,353700,235800,,"2021-12-03","EB-1135","0000000023","2020-05-01"
"0400000265",3,"100000024",249969,464230,357100,,"2021-05-23","CC-1021","0000000004","2020-05-08"
"0400000266",2,"100000011",622720,739480,389200,,"2021-06-25","BX-1012","0000000019","2020-07-31"
"0400000267",1,"100000031",0,0,375800,,"2022-04-28","RO-1001","0000000022","2020-07-30"
"0400000268",1,"100000016",615720,571740,439800,,"2021-09-04","RO-1001","0000000021","2020-06-29"
"0400000269",2,"100000035",0,0,121200,,"2021-11-10","EB-1131","0000000023","2019-12-27"
"0400000270",1,"100000030",0,236880,197400,,"2021-09-15","RC-1057","0000000006","2020-08-13"
"0400000271",3,"100000012",914090,481100,481100,,"2021-11-12","CC-1023","0000000010","2019-12-30"
"0400000272",3,"100000007",0,0,396900,,"2021-12-28","EB-1136","0000000017","2020-08-05"
"0400000273",3,"100000026",0,789660,438700,,"2022-08-13","HB-1171","0000000022","2020-07-08"
"0400000274",2,"100000028",0,308400,257000,,"2021-07-22","MB-1032","0000000019","2020-07-08"
"0400000275",4,"100000005",517579,591520,369700,,"2020-09-18","DB-1083","0000000024","2020-01-13"
"0400000276",2,"100000004",0,0,98000,,"2021-10-05","DB-1081","0000000019","2020-01-21"
"0400000277",3,"100000006",0,0,359000,,"2022-07-09","RC-1052","0000000017","2020-06-01"
"0400000278",1,"100000008",362180,0,278600,,"2021-12-19","RC-1054","0000000003","2020-03-28"
"0400000279",1,"100000016",0,0,457800,,"2021-02-20","MB-1034","0000000019","2020-02-18"
"0400000280",5,"100000002",398250,212400,265500,,"2020-02-01","MB-1034","0000000015","2019-10-10"
"0400000281",2,"100000015",114840,102080,127600,,"2022-08-22","RO-1002","0000000009","2020-08-02"
"0400000282",3,"100000037",249210,325890,191700,,"2021-07-12","HB-1175","0000000003","2020-07-23"
